iter	stage	seconds	started
0	holdout_anchor	5774	2026-08-30 07:31:36
1	A_evolve	8926	2026-08-30 09:07:50
1	B_holdout_harness	5986	2026-08-30 11:36:37
1	C_corpus_a0	1	2026-08-30 13:16:24
1	D_sft_a0	827	2026-08-30 13:16:25
1	E_holdout_sft_a0	7132	2026-08-30 13:30:12
2	A0_rotate_tasks	4	2026-08-30 15:29:04
2	A_evolve	10532	2026-08-30 15:29:08
2	B_holdout_harness	5581	2026-08-30 18:24:41
2	C_corpus_a0	3	2026-08-30 19:57:42
2	D_sft_a0	1116	2026-08-30 19:57:45
2	E_holdout_sft_a0	6706	2026-08-30 20:16:21
3	A0_rotate_tasks	5	2026-08-30 22:08:08
3	A_evolve	10928	2026-08-30 22:08:13
3	B_holdout_harness	5865	2026-08-31 01:10:22
3	C_corpus_a0	5	2026-08-31 02:48:07
3	D_sft_a0	1397	2026-08-31 02:48:12
3	E_holdout_sft_a0	7661	2026-08-31 03:11:29
