build-cython-ext__pQDYXRH                reward=1.0 in_tok=916216 out_tok=0
build-pmars__5zgbdvF                     reward=1.0 in_tok=168844 out_tok=0
cancel-async-tasks__N5UaeGN              reward=0.0 in_tok=73258 out_tok=0
cobol-modernization__vf8kAxf             reward=1.0 in_tok=1526065 out_tok=0
code-from-image__NSjoeoD                 reward=0.0 in_tok=6064 out_tok=0
configure-git-webserver__zC6XSUN         reward=0.0 in_tok=256971 out_tok=0
constraints-scheduling__dCX8rnj          reward=1.0 in_tok=119194 out_tok=0
custom-memory-heap-crash__QE7r8yp        reward=0.0 in_tok=98154 out_tok=0
fix-code-vulnerability__Q9em9GP          reward=1.0 in_tok=159772 out_tok=0
fix-git__hU5SFND                         reward=1.0 in_tok=44418 out_tok=0
git-leak-recovery__EVXmeo8               reward=1.0 in_tok=34484 out_tok=0
headless-terminal__tfwC2aM               reward=1.0 in_tok=76318 out_tok=0
hf-model-inference__tPsAiLX              reward=1.0 in_tok=79184 out_tok=0
kv-store-grpc__Duq83f7                   reward=1.0 in_tok=88887 out_tok=0
largest-eigenval__NbXMcCk                reward=1.0 in_tok=62848 out_tok=0
log-summary-date-ranges__2niZH6Y         reward=1.0 in_tok=58529 out_tok=0
mcmc-sampling-stan__vWb5Aad              reward=1.0 in_tok=270178 out_tok=0
modernize-scientific-stack__mFA2V3d      reward=1.0 in_tok=87473 out_tok=0
multi-source-data-merger__LvHP7Us        reward=1.0 in_tok=38773 out_tok=0
nginx-request-logging__LLSwChA           reward=1.0 in_tok=90700 out_tok=0
openssl-selfsigned-cert__3NYWMZu         reward=1.0 in_tok=55679 out_tok=0
portfolio-optimization__hjT4cru          reward=0.0 in_tok=86432 out_tok=0
pypi-server__qd45cwd                     reward=1.0 in_tok=108198 out_tok=0
pytorch-model-cli__8RtaiFQ               reward=0.0 in_tok=220208 out_tok=0
query-optimize__UBQ2pK5                  reward=1.0 in_tok=314208 out_tok=0
sanitize-git-repo__oEYfu89               reward=1.0 in_tok=272843 out_tok=0
sqlite-with-gcov__eFyRAtD                reward=1.0 in_tok=193904 out_tok=0
vulnerable-secret__v4oVhSJ               reward=1.0 in_tok=205682 out_tok=0
