1 task_001761_f620d44d   67.9 data_processing
1 task_000912_770802f8   92.1 data_querying
1 task_000760_76ba653c   130.9 data_science
1 task_000684_1a33ef37   126.1 debugging
1 task_001264_9f4ca84a   244.4 file_operations
1 task_001088_6f566806   50.2 scientific_computing
1 task_001701_95e3bbcb   461.0 security
0 task_000748_c9807703   196.6 software_engineering
0 task_000028_7fe033ac   210.3 system_administration
1 task_001706_24462a09   275.6 data_processing
0 task_000264_ab8c7253   652.6 data_querying
1 task_001697_af4b85fb   94.8 data_science
0 task_001089_220cc46b   816.6 debugging
1 task_000329_a3ac56b0   104.8 file_operations
1 task_000338_27d6a1be   152.1 scientific_computing
0 task_000505_50b5162d   100.9 security
0 task_000015_89886d8d   1025.2 software_engineering
0 task_000140_01c78b42   89.7 system_administration
1 task_000956_7e92337f   65.7 data_processing
1 task_000536_9c16e8ef   133.2 data_querying
0 task_001653_c4cafa73   127.9 data_science
0 task_001781_529727cf   90.4 debugging
1 task_000863_7acceb19   99.1 file_operations
0 task_000396_e56917e2   368.8 scientific_computing
1 task_000206_a943669b   75.5 security
1 task_000024_a0664029   132.7 software_engineering
0 task_001090_c61c71f2   751.4 system_administration
1 task_001591_8901fea6   84.6 data_processing
1 task_001673_86224c91   167.6 data_querying
1 task_001498_df8254c9   153.8 data_science
1 task_000965_069bb95f   61.3 debugging
0 task_001032_1adaccb9   816.6 file_operations
0 task_001937_ac874115   89.5 scientific_computing
1 task_001515_eed714e6   70.5 security
0 task_000933_1f27096a   62.6 software_engineering
0 task_000010_644ab1c2   275.2 system_administration
0 task_001818_b251e5ea   444.1 data_processing
1 task_000740_59416444   37.3 data_querying
1 task_000578_cebe85a5   250.5 data_science
1 task_000818_315382d9   121.4 debugging
0 task_001536_acfe6c35   203.5 file_operations
0 task_001031_a8f0eb37   1830.3 scientific_computing
1 task_001652_86e1d185   154.8 security
1 task_000344_e265c898   118.8 software_engineering
0 task_000118_3043e92d   460.6 system_administration
0 task_001321_658ce4a8   179.8 data_processing
0 task_000958_4bb2b05d   303.2 data_querying
1 task_000587_9862bb19   118.3 data_science
1 task_000667_2d762a00   58.5 debugging
1 task_001421_1f2cf4c7   77.1 file_operations
