rw task domain steps exit finished error elapsed
0 task_001818_b251e5ea data_processing 43 done no_tool_calls None 444.0
0 task_001321_658ce4a8 data_processing 21 done no_tool_calls None 180.0
0 task_000958_4bb2b05d data_querying 80 budget_exceeded budget_exceeded None 303.0
0 task_000264_ab8c7253 data_querying 80 budget_exceeded budget_exceeded None 653.0
0 task_001653_c4cafa73 data_science 8 done no_tool_calls None 128.0
0 task_001089_220cc46b debugging 70 done no_tool_calls None 817.0
0 task_001781_529727cf debugging 16 done no_tool_calls None 90.0
0 task_001032_1adaccb9 file_operations 75 done no_tool_calls None 817.0
0 task_001536_acfe6c35 file_operations 39 done no_tool_calls None 204.0
0 task_000396_e56917e2 scientific_computing 40 done no_tool_calls None 369.0
0 task_001031_a8f0eb37 scientific_computing 71 done no_tool_calls None 1830.0
0 task_001937_ac874115 scientific_computing 14 done no_tool_calls None 90.0
0 task_000505_50b5162d security 10 done no_tool_calls None 101.0
0 task_000933_1f27096a software_engineering 11 done no_tool_calls None 63.0
0 task_000748_c9807703 software_engineering 16 done no_tool_calls None 197.0
0 task_000015_89886d8d software_engineering 80 budget_exceeded budget_exceeded None 1025.0
0 task_001090_c61c71f2 system_administration 80 budget_exceeded budget_exceeded None 751.0
0 task_000140_01c78b42 system_administration 11 done no_tool_calls None 90.0
0 task_000010_644ab1c2 system_administration 42 done no_tool_calls None 275.0
0 task_000118_3043e92d system_administration 80 budget_exceeded budget_exceeded None 461.0
0 task_000028_7fe033ac system_administration 27 done no_tool_calls None 210.0
1 task_001761_f620d44d data_processing 10 done no_tool_calls None 68.0
1 task_001706_24462a09 data_processing 32 done no_tool_calls None 276.0
1 task_001591_8901fea6 data_processing 10 done no_tool_calls None 85.0
1 task_000956_7e92337f data_processing 10 done no_tool_calls None 66.0
1 task_001673_86224c91 data_querying 27 done no_tool_calls None 168.0
1 task_000536_9c16e8ef data_querying 21 done no_tool_calls None 133.0
1 task_000912_770802f8 data_querying 12 done no_tool_calls None 92.0
1 task_000740_59416444 data_querying 8 done no_tool_calls None 37.0
1 task_001498_df8254c9 data_science 23 done no_tool_calls None 154.0
1 task_000760_76ba653c data_science 13 done no_tool_calls None 131.0
1 task_000587_9862bb19 data_science 24 done no_tool_calls None 118.0
1 task_001697_af4b85fb data_science 16 done no_tool_calls None 95.0
1 task_000578_cebe85a5 data_science 37 done no_tool_calls None 250.0
1 task_000818_315382d9 debugging 19 done no_tool_calls None 121.0
1 task_000667_2d762a00 debugging 21 done no_tool_calls None 58.0
1 task_000965_069bb95f debugging 16 done no_tool_calls None 61.0
1 task_000684_1a33ef37 debugging 19 done no_tool_calls None 126.0
1 task_000329_a3ac56b0 file_operations 17 done no_tool_calls None 105.0
1 task_001421_1f2cf4c7 file_operations 23 done no_tool_calls None 77.0
1 task_001264_9f4ca84a file_operations 25 done no_tool_calls None 244.0
1 task_000863_7acceb19 file_operations 16 done no_tool_calls None 99.0
1 task_000338_27d6a1be scientific_computing 20 done no_tool_calls None 152.0
1 task_001088_6f566806 scientific_computing 8 done no_tool_calls None 50.0
1 task_000206_a943669b security 16 done no_tool_calls None 76.0
1 task_001652_86e1d185 security 34 done no_tool_calls None 155.0
1 task_001701_95e3bbcb security 78 done no_tool_calls None 461.0
1 task_001515_eed714e6 security 11 done no_tool_calls None 70.0
1 task_000024_a0664029 software_engineering 11 done no_tool_calls None 133.0
1 task_000344_e265c898 software_engineering 26 done no_tool_calls None 119.0
