task                         domain                 R exit             steps    sec
task_001818_b251e5ea         data_processing        0 budget_exceeded     80    968
task_000536_9c16e8ef         data_querying          0 loop_detected       24    262
task_000958_4bb2b05d         data_querying          0 done                51    391
task_000587_9862bb19         data_science           0 done                26     97
task_001498_df8254c9         data_science           0 done                13     76
task_001089_220cc46b         debugging              0 budget_exceeded     80   1337
task_001781_529727cf         debugging              0 done                13     64
task_001032_1adaccb9         file_operations        0 done                42    358
task_000396_e56917e2         scientific_computing   0 budget_exceeded     80    840
task_001031_a8f0eb37         scientific_computing   0 loop_detected       35    559
task_001937_ac874115         scientific_computing   0 done                15     93
task_000505_50b5162d         security               0 done                12    100
task_000015_89886d8d         software_engineering   0 done                50    475
task_000933_1f27096a         software_engineering   0 done                11     63
task_000010_644ab1c2         system_administration  0 budget_exceeded     80    727
task_000118_3043e92d         system_administration  0 budget_exceeded     80    526
task_000140_01c78b42         system_administration  0 done                14    114
task_001090_c61c71f2         system_administration  0 done                45    187
task_000956_7e92337f         data_processing        1 done                11     60
task_001321_658ce4a8         data_processing        1 budget_exceeded     80    591
task_001591_8901fea6         data_processing        1 done                18    248
task_001706_24462a09         data_processing        1 done                27    150
task_001761_f620d44d         data_processing        1 done                16    191
task_000264_ab8c7253         data_querying          1 done                58    710
task_000740_59416444         data_querying          1 done                15     62
task_000912_770802f8         data_querying          1 done                11     73
task_001673_86224c91         data_querying          1 done                41    160
task_000578_cebe85a5         data_science           1 done                29    149
task_000760_76ba653c         data_science           1 done                13    119
task_001653_c4cafa73         data_science           1 done                11     62
task_001697_af4b85fb         data_science           1 done                21    204
task_000667_2d762a00         debugging              1 done                16     58
task_000684_1a33ef37         debugging              1 done                16    153
task_000818_315382d9         debugging              1 done                16     60
task_000965_069bb95f         debugging              1 done                 9     46
task_000329_a3ac56b0         file_operations        1 done                19     97
task_000863_7acceb19         file_operations        1 done                14     88
task_001264_9f4ca84a         file_operations        1 done                14     98
task_001421_1f2cf4c7         file_operations        1 done                26    123
task_001536_acfe6c35         file_operations        1 done                34    169
task_000338_27d6a1be         scientific_computing   1 done                17    114
task_001088_6f566806         scientific_computing   1 done                 8     54
task_000206_a943669b         security               1 done                22     93
task_001515_eed714e6         security               1 done                11     44
task_001652_86e1d185         security               1 done                35    160
task_001701_95e3bbcb         security               1 budget_exceeded     80   1103
task_000024_a0664029         software_engineering   1 done                10     36
task_000344_e265c898         software_engineering   1 done                51    254
task_000748_c9807703         software_engineering   1 done                31    270
task_000028_7fe033ac         system_administration  1 done                31    168
