REWARD EXIT STEPS DOMAIN TASK
0 budget_exceeded 80 data_querying task_000958_4bb2b05d
0 budget_exceeded 80 system_administration task_000585_049544a3
0 budget_exceeded 80 data_processing task_002073_a89d5ed6
0 budget_exceeded 80 system_administration task_000118_3043e92d
0 budget_exceeded 80 system_administration task_000010_644ab1c2
0 budget_exceeded 80 system_administration task_000028_7fe033ac
0 budget_exceeded 80 system_administration task_000442_502566d6
0 done 26 security task_001017_9f6adf16
0 done 44 data_querying task_000661_f26aec97
0 done 8 data_science task_000764_a0052743
0 done 48 data_processing task_000714_2b74124a
0 done 16 debugging task_001781_529727cf
0 done 14 software_engineering task_000933_1f27096a
0 done 25 debugging task_001093_74a28e37
0 done 78 software_engineering task_000300_7d6b511c
0 done 22 scientific_computing task_001937_ac874115
0 done 20 software_engineering task_000059_e4b842f5
0 done 27 data_querying task_000264_ab8c7253
0 done 26 software_engineering task_000426_b9e2ee44
0 done 25 data_science task_001653_c4cafa73
0 done 18 system_administration task_000140_01c78b42
0 done 14 data_processing task_000115_40adb445
0 done 64 data_science task_000345_ceda6291
0 done 35 software_engineering task_000015_89886d8d
1 budget_exceeded 80 software_engineering task_000449_81e3c4d7
1 budget_exceeded 80 file_operations task_000257_3cd35e11
1 done 21 data_querying task_000631_1a106fda
1 done 51 debugging task_000320_38324774
1 done 15 scientific_computing task_001095_31b3cce4
1 done 27 security task_001883_6e356e21
1 done 29 software_engineering task_000748_c9807703
1 done 11 scientific_computing task_000671_5d08e92a
1 done 30 scientific_computing task_000396_e56917e2
1 done 19 file_operations task_000331_dbf3bc55
1 done 27 debugging task_000138_7c0ee272
1 done 42 debugging task_000191_578636e9
1 done 24 scientific_computing task_000890_030b527a
1 done 35 data_science task_000090_d0fa254a
1 done 53 file_operations task_000533_01bba2c2
1 done 30 data_science task_000878_02a05cf1
1 done 25 data_processing task_000673_8608c426
1 done 30 file_operations task_001197_c78266f7
1 done 62 security task_000168_90f4f029
1 done 67 scientific_computing task_000865_d9a96bd4
1 done 11 data_querying task_002062_b19c37a5
1 done 25 system_administration task_001328_af94e625
1 done 18 security task_000712_919b6d83
1 done 22 data_querying task_000851_38724f87
1 done 24 security task_000505_50b5162d
1 done 22 system_administration task_000932_6438cec4

FAIL exit_reason counts: Counter({'done': 17, 'budget_exceeded': 7})
total fails 24 total 50
