TASK                         PASS   EXIT               STEPS DOMAIN                 PYTEST_TAIL
task_000010_644ab1c2         0      budget_exceeded    80    system_administration  2 passed 1 failed 2 passed
task_000015_89886d8d         0      done               32    software_engineering   1 failed 1 passed
task_000028_7fe033ac         0      budget_exceeded    80    system_administration  1 error 1 error 1 error
task_000059_e4b842f5         0      done               21    software_engineering   3 passed 1 failed 3 passed
task_000090_d0fa254a         1      done               28    data_science           2 passed
task_000115_40adb445         0      done               14    data_processing        1 failed 2 passed
task_000118_3043e92d         0      budget_exceeded    80    system_administration  1 failed
task_000138_7c0ee272         1      done               49    debugging              5 passed
task_000140_01c78b42         0      done               19    system_administration  2 passed 1 failed 2 passed
task_000168_90f4f029         1      done               50    security               2 passed
task_000191_578636e9         1      done               29    debugging              2 passed
task_000257_3cd35e11         0      error              44    file_operations        1 passed 1 failed 1 passed
task_000264_ab8c7253         0      done               34    data_querying          2 passed 1 failed 2 passed
task_000300_7d6b511c         0      budget_exceeded    80    software_engineering   4 failed 2 passed
task_000320_38324774         0      done               39    debugging              3 passed 1 failed 3 passed
task_000331_dbf3bc55         1      done               22    file_operations        5 passed
task_000345_ceda6291         0      done               55    data_science           1 failed 2 passed
task_000396_e56917e2         0      done               35    scientific_computing   4 passed 1 failed 4 passed
task_000426_b9e2ee44         0      budget_exceeded    80    software_engineering   1 passed 1 failed 1 passed
task_000442_502566d6         0      budget_exceeded    80    system_administration  1 failed 2 passed
task_000449_81e3c4d7         1      done               47    software_engineering   4 passed
task_000505_50b5162d         1      done               70    security               2 passed
task_000533_01bba2c2         0      budget_exceeded    80    file_operations        2 failed 1 passed
task_000585_049544a3         0      budget_exceeded    80    system_administration  1 failed 3 passed
task_000631_1a106fda         1      done               25    data_querying          1 passed
task_000661_f26aec97         0      done               33    data_querying          1 error 1 error 1 error
task_000671_5d08e92a         1      done               13    scientific_computing   1 passed
task_000673_8608c426         1      done               24    data_processing        2 passed
task_000712_919b6d83         1      done               21    security               2 passed
task_000714_2b74124a         0      done               37    data_processing        1 error 1 error 1 error
task_000748_c9807703         1      done               27    software_engineering   3 passed
task_000764_a0052743         0      done               8     data_science           1 passed 1 failed 1 passed
task_000851_38724f87         1      done               21    data_querying          2 passed
task_000865_d9a96bd4         1      done               70    scientific_computing   3 passed
task_000878_02a05cf1         1      done               21    data_science           1 passed
task_000890_030b527a         1      done               25    scientific_computing   3 passed
task_000932_6438cec4         1      done               32    system_administration  3 passed
task_000933_1f27096a         0      done               20    software_engineering   2 failed 1 passed
task_000958_4bb2b05d         0      budget_exceeded    80    data_querying          1 error 1 error 1 error
task_001017_9f6adf16         0      done               30    security               2 failed 2 passed
task_001093_74a28e37         0      done               22    debugging              3 failed
task_001095_31b3cce4         1      done               18    scientific_computing   4 passed
task_001197_c78266f7         1      done               20    file_operations        3 passed
task_001328_af94e625         1      done               21    system_administration  2 passed
task_001653_c4cafa73         0      done               27    data_science           1 failed 3 passed
task_001781_529727cf         0      done               16    debugging              2 failed 1 passed
task_001883_6e356e21         0      budget_exceeded    80    security               3 passed 1 failed 3 passed
task_001937_ac874115         0      budget_exceeded    80    scientific_computing   2 passed 1 failed 2 passed
task_002062_b19c37a5         1      done               11    data_querying          3 passed
task_002073_a89d5ed6         0      done               49    data_processing        2 failed 1 passed
