task                     rew exit         steps elapsed
task_000958_4bb2b05d     0 budget_exceeded 80    1173.5
task_000865_d9a96bd4     1 done         65    1064.9
task_000878_02a05cf1     1 done         59    1054.3
task_000118_3043e92d     0 budget_exceeded 80    859.8
task_001017_9f6adf16     0 done         41    784.5
task_000585_049544a3     0 done         70    659.7
task_000010_644ab1c2     0 budget_exceeded 80    626.9
task_000257_3cd35e11     0 error        45    591.2
task_000714_2b74124a     1 done         53    575.2
task_000028_7fe033ac     0 done         67    548.5
task_002073_a89d5ed6     0 done         37    494.3
task_000015_89886d8d     0 done         35    401.9
task_000449_81e3c4d7     1 done         36    386.9
task_000396_e56917e2     0 done         32    320.9
task_000345_ceda6291     0 done         55    281.4
task_000426_b9e2ee44     1 done         17    278.5
task_000533_01bba2c2     0 done         58    273.5
task_000138_7c0ee272     1 done         34    264.3
task_000300_7d6b511c     0 done         53    257.8
task_001328_af94e625     1 done         18    243.1
task_000442_502566d6     0 done         51    224.9
task_000320_38324774     1 done         56    217.4
task_000191_578636e9     0 done         45    205.7
task_001937_ac874115     0 done         25    193.2
task_000140_01c78b42     0 done         11    190.4
task_000890_030b527a     1 done         25    178.1
task_000661_f26aec97     0 done         21    168.4
task_001883_6e356e21     1 done         27    163.4
task_000090_d0fa254a     0 done         31    152.9
task_000673_8608c426     1 done         22    134.9
task_001197_c78266f7     1 done         21    132.8
task_000168_90f4f029     1 done         38    127.4
task_001093_74a28e37     0 done         22    120.8
task_001781_529727cf     0 done         16    119.5
task_000712_919b6d83     1 done         17    107.4
task_000505_50b5162d     0 done         13    92.8
task_000631_1a106fda     1 done         21    89.5
task_000933_1f27096a     0 done         10    85.7
task_001653_c4cafa73     0 done         9     81.4
task_000748_c9807703     0 done         16    79.6
task_000264_ab8c7253     0 done         18    75.1
task_000115_40adb445     0 done         10    70.7
task_001095_31b3cce4     0 done         13    67.1
task_000932_6438cec4     1 done         16    54.7
task_002062_b19c37a5     1 done         11    54.3
task_000851_38724f87     1 done         13    51.4
task_000671_5d08e92a     1 done         8     49.9
task_000059_e4b842f5     0 done         16    46.1
task_000764_a0052743     1 done         7     41.6
task_000331_dbf3bc55     1 done         13    38.9
