task                     rw steps finished         exit     elapsed  domain
task_000010_644ab1c2     0  76    no_tool_calls    done     562.5    system_administration
task_000011_a5387288     1  8     no_tool_calls    done     83.2     data_science
task_000015_89886d8d     0  54    no_tool_calls    done     700.5    software_engineering
task_000020_eb7b8782     0  80    budget_exceeded  budget_exceeded 814.3    file_operations
task_000028_7fe033ac     0  32    no_tool_calls    done     190.2    system_administration
task_000029_80a5350d     0  24    no_tool_calls    done     249.2    data_processing
task_000033_80270ee4     1  22    no_tool_calls    done     160.1    software_engineering
task_000035_9e0d01ab     0  13    no_tool_calls    done     96.6     debugging
task_000041_33325364     1  14    no_tool_calls    done     139.2    system_administration
task_000059_e4b842f5     0  14    no_tool_calls    done     70.2     software_engineering
task_000105_3d8c6fe2     0  13    no_tool_calls    done     85.4     data_processing
task_000115_40adb445     0  9     no_tool_calls    done     107.3    data_processing
task_000118_3043e92d     0  74    no_tool_calls    done     627.4    system_administration
task_000123_aa456f4d     1  54    no_tool_calls    done     347.1    software_engineering
task_000127_45b27ddd     0  32    no_tool_calls    done     182.7    data_querying
task_000140_01c78b42     0  11    no_tool_calls    done     172.2    system_administration
task_000185_46261088     1  37    no_tool_calls    done     258.2    data_querying
task_000212_46a770d4     1  29    no_tool_calls    done     169.3    security
task_000252_1370dd6b     1  9     no_tool_calls    done     93.2     data_science
task_000264_ab8c7253     0  17    no_tool_calls    done     106.8    data_querying
task_000288_f6bda9ee     1  26    no_tool_calls    done     259.9    data_querying
task_000300_7d6b511c     0  36    no_tool_calls    done     149.5    software_engineering
task_000345_ceda6291     0  41    no_tool_calls    done     207.8    data_science
task_000358_4ab35712     1  80    budget_exceeded  budget_exceeded 1828.2   data_processing
task_000381_50608d4c     0  43    no_tool_calls    done     382.7    scientific_computing
task_000408_0c17d946     0  80    budget_exceeded  budget_exceeded 570.3    debugging
task_000431_fabf4ad3     0  9     no_tool_calls    done     81.0     debugging
task_000442_502566d6     0  80    budget_exceeded  budget_exceeded 1035.0   system_administration
task_000480_a5d1045a     0  9     no_tool_calls    done     108.8    data_science
task_000577_04adb4de     1  8     no_tool_calls    done     51.4     security
task_000661_f26aec97     0  22    no_tool_calls    done     151.7    data_querying
task_000686_2f4384f8     0  6     no_tool_calls    done     82.3     scientific_computing
task_000689_a143f1c9     0  74    no_tool_calls    done     514.8    system_administration
task_000758_92ca434c     1  33    no_tool_calls    done     317.1    debugging
task_000797_f49a20eb     0  19    no_tool_calls    done     156.1    scientific_computing
task_000911_51bf7326     1  11    no_tool_calls    done     64.0     security
task_000933_1f27096a     0  10    no_tool_calls    done     63.1     software_engineering
task_000958_4bb2b05d     0  80    budget_exceeded  budget_exceeded 709.1    data_querying
task_001017_9f6adf16     0  23    no_tool_calls    done     149.4    security
task_001035_5a64a9e8     1  64    no_tool_calls    done     342.2    software_engineering
task_001046_eccbf294     0  40    no_tool_calls    done     246.1    data_processing
task_001093_74a28e37     0  27    no_tool_calls    done     97.2     debugging
task_001229_56925bcd     0  41    no_tool_calls    done     326.7    data_querying
task_001653_c4cafa73     0  8     no_tool_calls    done     134.5    data_science
task_001716_c1f2ac56     0  80    budget_exceeded  budget_exceeded 1261.2   file_operations
task_001776_abf6bf58     1  71    no_tool_calls    done     798.5    file_operations
task_001781_529727cf     0  15    no_tool_calls    done     95.1     debugging
task_001832_dd672877     1  59    no_tool_calls    done     504.1    data_science
task_001937_ac874115     0  15    no_tool_calls    done     192.6    scientific_computing
task_002160_7b255cce     0  80    budget_exceeded  budget_exceeded 478.5    system_administration

FAIL finished/exit: {('no_tool_calls', 'done'): 29, ('budget_exceeded', 'budget_exceeded'): 6}
PASS finished/exit: {('no_tool_calls', 'done'): 14, ('budget_exceeded', 'budget_exceeded'): 1}
fail steps>=75: ['task_000010_644ab1c2', 'task_000020_eb7b8782', 'task_000408_0c17d946', 'task_000442_502566d6', 'task_000958_4bb2b05d', 'task_001716_c1f2ac56', 'task_002160_7b255cce']
