task_000010_644ab1c2	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=1046
task_000011_a5387288	 reward=1	 exit=None	 steps=None	 cost=None	 elapsed=78
task_000015_89886d8d	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=622
task_000020_eb7b8782	 reward=1	 exit=None	 steps=None	 cost=None	 elapsed=143
task_000028_7fe033ac	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=87
task_000029_80a5350d	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=685
task_000033_80270ee4	 reward=1	 exit=None	 steps=None	 cost=None	 elapsed=132
task_000035_9e0d01ab	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=88
task_000041_33325364	 reward=1	 exit=None	 steps=None	 cost=None	 elapsed=138
task_000059_e4b842f5	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=45
task_000105_3d8c6fe2	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=48
task_000115_40adb445	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=85
task_000118_3043e92d	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=443
task_000123_aa456f4d	 reward=1	 exit=None	 steps=None	 cost=None	 elapsed=192
task_000127_45b27ddd	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=668
task_000140_01c78b42	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=98
task_000185_46261088	 reward=1	 exit=None	 steps=None	 cost=None	 elapsed=528
task_000212_46a770d4	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=307
task_000252_1370dd6b	 reward=1	 exit=None	 steps=None	 cost=None	 elapsed=60
task_000264_ab8c7253	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=116
task_000288_f6bda9ee	 reward=1	 exit=None	 steps=None	 cost=None	 elapsed=365
task_000300_7d6b511c	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=540
task_000345_ceda6291	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=503
task_000358_4ab35712	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=343
task_000381_50608d4c	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=143
task_000408_0c17d946	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=213
task_000431_fabf4ad3	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=58
task_000442_502566d6	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=665
task_000480_a5d1045a	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=120
task_000577_04adb4de	 reward=1	 exit=None	 steps=None	 cost=None	 elapsed=42
task_000661_f26aec97	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=1153
task_000686_2f4384f8	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=207
task_000689_a143f1c9	 reward=1	 exit=None	 steps=None	 cost=None	 elapsed=124
task_000758_92ca434c	 reward=1	 exit=None	 steps=None	 cost=None	 elapsed=746
task_000797_f49a20eb	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=116
task_000911_51bf7326	 reward=1	 exit=None	 steps=None	 cost=None	 elapsed=48
task_000933_1f27096a	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=122
task_000958_4bb2b05d	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=171
task_001017_9f6adf16	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=1738
task_001035_5a64a9e8	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=465
task_001046_eccbf294	 reward=1	 exit=None	 steps=None	 cost=None	 elapsed=431
task_001093_74a28e37	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=383
task_001229_56925bcd	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=1226
task_001653_c4cafa73	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=667
task_001716_c1f2ac56	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=1139
task_001776_abf6bf58	 reward=1	 exit=None	 steps=None	 cost=None	 elapsed=322
task_001781_529727cf	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=117
task_001832_dd672877	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=1010
task_001937_ac874115	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=158
task_002160_7b255cce	 reward=0	 exit=None	 steps=None	 cost=None	 elapsed=613
