task_000032_3fb303f6 | rew= 0 | dom= security | exit= done | steps= 26 | fin= no_tool_calls | elapsed= 108.8
task_000065_d6659694 | rew= 1 | dom= debugging | exit= done | steps= 8 | fin= no_tool_calls | elapsed= 36.2
task_000164_ee3fd873 | rew= 0 | dom= scientific_computing | exit= done | steps= 11 | fin= no_tool_calls | elapsed= 46.1
task_000197_1460b736 | rew= 1 | dom= debugging | exit= done | steps= 46 | fin= no_tool_calls | elapsed= 404.3
task_000199_d50c0e57 | rew= 0 | dom= software_engineering | exit= done | steps= 22 | fin= no_tool_calls | elapsed= 70.7
task_000224_82ea7667 | rew= 1 | dom= system_administration | exit= done | steps= 16 | fin= no_tool_calls | elapsed= 73.9
task_000267_a5843e4e | rew= 1 | dom= software_engineering | exit= done | steps= 14 | fin= no_tool_calls | elapsed= 103.4
task_000274_d6960c37 | rew= 1 | dom= software_engineering | exit= done | steps= 16 | fin= no_tool_calls | elapsed= 65.7
task_000311_82f9e3ba | rew= 0 | dom= data_querying | exit= done | steps= 33 | fin= no_tool_calls | elapsed= 819.5
task_000348_31fb8c8a | rew= 0 | dom= scientific_computing | exit= done | steps= 36 | fin= no_tool_calls | elapsed= 419.5
task_000381_97a0c6c6 | rew= 1 | dom= data_querying | exit= done | steps= 6 | fin= no_tool_calls | elapsed= 40.8
task_000438_fee5a792 | rew= 0 | dom= security | exit= done | steps= 18 | fin= no_tool_calls | elapsed= 81.6
task_000454_03e46829 | rew= 1 | dom= data_processing | exit= done | steps= 18 | fin= no_tool_calls | elapsed= 90.6
task_000457_afcbea72 | rew= 1 | dom= data_science | exit= done | steps= 7 | fin= no_tool_calls | elapsed= 40.0
task_000506_c13429e7 | rew= 0 | dom= data_querying | exit= budget_exceeded | steps= 80 | fin= budget_exceeded | elapsed= 805.7
task_000597_919a0875 | rew= 1 | dom= data_processing | exit= done | steps= 17 | fin= no_tool_calls | elapsed= 89.8
task_000603_3ed5cdb5 | rew= 1 | dom= scientific_computing | exit= done | steps= 27 | fin= no_tool_calls | elapsed= 139.6
task_000669_0ef2d04d | rew= 0 | dom= security | exit= done | steps= 17 | fin= no_tool_calls | elapsed= 116.9
task_000707_f163b6d5 | rew= 1 | dom= data_querying | exit= done | steps= 9 | fin= no_tool_calls | elapsed= 58.5
task_000716_206dc0f6 | rew= 1 | dom= data_querying | exit= done | steps= 48 | fin= no_tool_calls | elapsed= 625.8
task_000718_2c9ef3a3 | rew= 1 | dom= data_processing | exit= done | steps= 10 | fin= no_tool_calls | elapsed= 100.2
task_000730_265f23f6 | rew= 0 | dom= debugging | exit= done | steps= 28 | fin= no_tool_calls | elapsed= 136.2
task_000756_b04fc79a | rew= 1 | dom= file_operations | exit= done | steps= 72 | fin= no_tool_calls | elapsed= 473.9
task_000763_7713d5ae | rew= 0 | dom= security | exit= done | steps= 28 | fin= no_tool_calls | elapsed= 129.4
task_000773_9bc1b20e | rew= 0 | dom= system_administration | exit= done | steps= 11 | fin= no_tool_calls | elapsed= 43.9
task_000785_b727c84b | rew= 0 | dom= scientific_computing | exit= done | steps= 15 | fin= no_tool_calls | elapsed= 63.8
task_000796_828a72cf | rew= 0 | dom= security | exit= budget_exceeded | steps= 80 | fin= budget_exceeded | elapsed= 1255.3
task_000798_a3824955 | rew= 1 | dom= data_science | exit= done | steps= 6 | fin= no_tool_calls | elapsed= 34.9
task_000885_d1c1007b | rew= 0 | dom= data_science | exit= done | steps= 33 | fin= no_tool_calls | elapsed= 295.5
task_000897_f4216424 | rew= 1 | dom= file_operations | exit= done | steps= 40 | fin= no_tool_calls | elapsed= 286.8
task_000908_170e5e4e | rew= 0 | dom= data_querying | exit= done | steps= 21 | fin= no_tool_calls | elapsed= 102.2
task_000910_16cc0daf | rew= 0 | dom= system_administration | exit= budget_exceeded | steps= 80 | fin= budget_exceeded | elapsed= 824.0
task_000913_5cdea67a | rew= 1 | dom= file_operations | exit= done | steps= 21 | fin= no_tool_calls | elapsed= 124.1
task_000925_9ae08ed3 | rew= 0 | dom= data_science | exit= done | steps= 7 | fin= no_tool_calls | elapsed= 57.7
task_000948_7c813b00 | rew= 1 | dom= data_processing | exit= done | steps= 40 | fin= no_tool_calls | elapsed= 323.3
task_000975_46e20767 | rew= 1 | dom= system_administration | exit= done | steps= 11 | fin= no_tool_calls | elapsed= 63.7
task_000998_4d9c7852 | rew= 0 | dom= system_administration | exit= done | steps= 71 | fin= no_tool_calls | elapsed= 754.0
task_001016_b1b861c4 | rew= 0 | dom= data_processing | exit= budget_exceeded | steps= 80 | fin= budget_exceeded | elapsed= 1177.9
task_001028_5bc8bc70 | rew= 0 | dom= security | exit= done | steps= 79 | fin= no_tool_calls | elapsed= 1044.2
task_001036_87bd136e | rew= 0 | dom= data_processing | exit= done | steps= 22 | fin= no_tool_calls | elapsed= 168.1
task_001044_45c70cf1 | rew= 0 | dom= scientific_computing | exit= budget_exceeded | steps= 80 | fin= budget_exceeded | elapsed= 890.5
task_001074_90fdfe60 | rew= 0 | dom= software_engineering | exit= done | steps= 28 | fin= no_tool_calls | elapsed= 335.0
task_001403_6ec5f1d3 | rew= 1 | dom= data_processing | exit= done | steps= 29 | fin= no_tool_calls | elapsed= 186.9
task_001441_d69a4e0e | rew= 1 | dom= data_querying | exit= done | steps= 22 | fin= no_tool_calls | elapsed= 111.4
task_001465_aa3ed3f8 | rew= 0 | dom= data_science | exit= done | steps= 51 | fin= no_tool_calls | elapsed= 833.2
task_001674_125bb961 | rew= 0 | dom= software_engineering | exit= done | steps= 17 | fin= no_tool_calls | elapsed= 137.9
task_001877_bd2513aa | rew= 0 | dom= debugging | exit= done | steps= 67 | fin= no_tool_calls | elapsed= 405.4
task_002108_a8cfbf2a | rew= 0 | dom= file_operations | exit= budget_exceeded | steps= 80 | fin= budget_exceeded | elapsed= 968.7
task_002146_0bc2994c | rew= 0 | dom= file_operations | exit= done | steps= 25 | fin= no_tool_calls | elapsed= 232.2
task_002152_e1bffa1c | rew= 1 | dom= data_science | exit= done | steps= 21 | fin= no_tool_calls | elapsed= 124.3
