task R0	R1	R2	R3	R4	R5	R6   pattern
task_000032_3fb303f6 0	0	0	0	0	0	0 STUCK
task_000065_d6659694 1	1	1	1	1	1	1 SOLVED
task_000164_ee3fd873 0	0	0	0	0	0	0 STUCK
task_000197_1460b736 1	0	1	1	1	1	1 FRAGILE
task_000199_d50c0e57 0	1	1	0	0	0	1 FRAGILE
task_000224_82ea7667 1	1	1	1	1	1	0 FRAGILE
task_000267_a5843e4e 1	1	1	1	1	1	1 SOLVED
task_000274_d6960c37 1	1	1	1	1	1	1 SOLVED
task_000311_82f9e3ba 1	0	0	0	1	0	0 FRAGILE
task_000348_31fb8c8a 0	0	0	0	0	0	0 STUCK
task_000381_97a0c6c6 1	1	1	1	1	1	1 SOLVED
task_000438_fee5a792 0	0	0	0	0	0	0 STUCK
task_000454_03e46829 1	1	1	1	1	1	1 SOLVED
task_000457_afcbea72 1	1	1	1	1	1	1 SOLVED
task_000506_c13429e7 0	0	0	0	0	0	0 STUCK
task_000597_919a0875 1	1	1	1	1	1	1 SOLVED
task_000603_3ed5cdb5 0	1	0	1	1	1	0 FRAGILE
task_000669_0ef2d04d 0	0	0	0	0	0	0 STUCK
task_000707_f163b6d5 1	1	1	1	1	1	1 SOLVED
task_000716_206dc0f6 1	0	0	1	1	1	1 FRAGILE
task_000718_2c9ef3a3 0	1	1	1	0	0	1 FRAGILE
task_000730_265f23f6 0	0	0	0	0	0	0 STUCK
task_000756_b04fc79a 1	1	1	1	1	1	1 SOLVED
task_000763_7713d5ae 0	0	0	0	0	0	0 STUCK
task_000773_9bc1b20e 0	0	0	0	0	1	0 FRAGILE
task_000785_b727c84b 0	0	0	0	0	0	0 STUCK
task_000796_828a72cf 0	0	0	0	0	0	0 STUCK
task_000798_a3824955 1	1	1	1	1	1	1 SOLVED
task_000885_d1c1007b 0	0	0	0	0	0	0 STUCK
task_000897_f4216424 0	0	1	1	1	1	0 FRAGILE
task_000908_170e5e4e 0	0	0	0	0	0	0 STUCK
task_000910_16cc0daf 0	0	0	0	0	0	0 STUCK
task_000913_5cdea67a 1	1	1	1	1	1	1 SOLVED
task_000925_9ae08ed3 0	0	0	0	0	0	0 STUCK
task_000948_7c813b00 0	1	1	1	1	1	1 FRAGILE
task_000975_46e20767 1	1	1	1	1	1	1 SOLVED
task_000998_4d9c7852 0	0	0	0	0	0	0 STUCK
task_001016_b1b861c4 1	0	0	0	0	0	0 FRAGILE
task_001028_5bc8bc70 0	0	0	0	0	0	0 STUCK
task_001036_87bd136e 0	0	0	0	0	0	0 STUCK
task_001044_45c70cf1 0	0	0	0	0	0	0 STUCK
task_001074_90fdfe60 0	0	0	0	0	0	0 STUCK
task_001403_6ec5f1d3 1	1	1	1	1	1	1 SOLVED
task_001441_d69a4e0e 1	1	1	1	1	1	1 SOLVED
task_001465_aa3ed3f8 0	0	0	0	0	0	0 STUCK
task_001674_125bb961 0	0	0	0	0	0	0 STUCK
task_001877_bd2513aa 0	0	0	0	0	0	0 STUCK
task_002108_a8cfbf2a 0	0	0	0	0	0	0 STUCK
task_002146_0bc2994c 0	0	0	0	0	0	0 STUCK
task_002152_e1bffa1c 1	1	1	1	1	1	1 SOLVED

FRAGILE count: 11
