TASK                         R exit             finished         steps domain        
task_000028_ab97cdc1         0 done             no_tool_calls       20 security      
task_000032_3fb303f6         0 budget_exceeded  budget_exceeded     80 security      
task_000069_41f1682c         1 done             no_tool_calls       15 system_administration
task_000097_d9d1d187         0 budget_exceeded  budget_exceeded     80 file_operations
task_000164_ee3fd873         0 done             no_tool_calls       15 scientific_computing
task_000325_3fbc5745         1 budget_exceeded  budget_exceeded     80 data_querying 
task_000348_31fb8c8a         0 done             no_tool_calls       45 scientific_computing
task_000436_cc1c950c         1 done             no_tool_calls       27 file_operations
task_000437_8450eef7         0 budget_exceeded  budget_exceeded     80 data_processing
task_000438_fee5a792         0 done             no_tool_calls       22 security      
task_000444_250abeda         1 done             no_tool_calls       23 scientific_computing
task_000472_6c2ef24d         1 done             no_tool_calls       30 data_processing
task_000506_c13429e7         0 budget_exceeded  budget_exceeded     80 data_querying 
task_000507_30f952ae         1 done             no_tool_calls       12 security      
task_000567_d082f802         0 done             no_tool_calls       12 data_science  
task_000628_dcc7eb30         0 budget_exceeded  budget_exceeded     80 debugging     
task_000669_0ef2d04d         0 done             no_tool_calls       18 security      
task_000677_1de47eed         0 budget_exceeded  budget_exceeded     80 debugging     
task_000685_646c4ca7         1 done             no_tool_calls       40 system_administration
task_000709_12e0d757         0 done             no_tool_calls       59 debugging     
task_000710_fa628bd4         0 done             no_tool_calls       60 file_operations
task_000713_b0778d60         0 done             no_tool_calls       62 scientific_computing
task_000730_265f23f6         0 done             no_tool_calls       49 debugging     
task_000740_8245be5c         0 done             no_tool_calls       23 data_processing
task_000763_7713d5ae         0 done             no_tool_calls       12 security      
task_000785_b727c84b         0 done             no_tool_calls       22 scientific_computing
task_000796_828a72cf         0 done             no_tool_calls       65 security      
task_000806_07e0f661         1 done             no_tool_calls       33 software_engineering
task_000885_d1c1007b         0 done             no_tool_calls       25 data_science  
task_000903_7604c91e         0 done             no_tool_calls       19 data_science  
task_000908_170e5e4e         0 done             no_tool_calls       36 data_querying 
task_000910_16cc0daf         0 budget_exceeded  budget_exceeded     80 system_administration
task_000925_9ae08ed3         0 done             no_tool_calls       14 data_science  
task_000962_9f578fde         1 done             no_tool_calls       14 scientific_computing
task_000998_4d9c7852         0 done             no_tool_calls       22 system_administration
task_001028_5bc8bc70         0 budget_exceeded  budget_exceeded     80 security      
task_001036_87bd136e         0 done             no_tool_calls       24 data_processing
task_001044_45c70cf1         0 budget_exceeded  budget_exceeded     80 scientific_computing
task_001074_90fdfe60         0 done             no_tool_calls       40 software_engineering
task_001201_1340f4e2         0 budget_exceeded  budget_exceeded     80 software_engineering
task_001214_f44c0aa2         1 done             no_tool_calls       64 security      
task_001267_0acfd3a0         0 budget_exceeded  budget_exceeded     80 data_querying 
task_001465_aa3ed3f8         0 budget_exceeded  budget_exceeded     80 data_science  
task_001537_fbfffb79         1 done             no_tool_calls       52 software_engineering
task_001674_125bb961         0 done             no_tool_calls       35 software_engineering
task_001943_21bde569         0 done             no_tool_calls       14 data_science  
task_002033_f03df97e         0 done             no_tool_calls       58 data_querying 
task_002071_157686dd         0 done             no_tool_calls       19 system_administration
task_002108_a8cfbf2a         0 done             no_tool_calls       53 file_operations
task_002146_0bc2994c         0 budget_exceeded  budget_exceeded     80 file_operations
