task                         domain               rew exit            steps moderr              
task_000028_ab97cdc1         security               0 done               19                     
task_000032_3fb303f6         security               0 done               35                     
task_000069_41f1682c         system_administration   1 done               29                     
task_000097_d9d1d187         file_operations        1 budget_exceeded    80                     
task_000164_ee3fd873         scientific_computing   0 done               19                     
task_000325_3fbc5745         data_querying          0 budget_exceeded    80                     
task_000348_31fb8c8a         scientific_computing   0 done               47                     
task_000436_cc1c950c         file_operations        1 budget_exceeded    80                     
task_000437_8450eef7         data_processing        1 done               17                     
task_000438_fee5a792         security               0 done               70                     
task_000444_250abeda         scientific_computing   1 done               44                     
task_000472_6c2ef24d         data_processing        1 done               32                     
task_000506_c13429e7         data_querying          0 done               53                     
task_000507_30f952ae         security               1 done               15                     
task_000567_d082f802         data_science           0 done               20                     
task_000628_dcc7eb30         debugging              1 budget_exceeded    80                     
task_000669_0ef2d04d         security               0 done               21                     
task_000677_1de47eed         debugging              0 budget_exceeded    80                     
task_000685_646c4ca7         system_administration   1 done               41                     
task_000709_12e0d757         debugging              0 done               44                     
task_000710_fa628bd4         file_operations        0 done               55                     
task_000713_b0778d60         scientific_computing   0 done               28                     
task_000730_265f23f6         debugging              0 budget_exceeded    80                     
task_000740_8245be5c         data_processing        0 done               22                     
task_000763_7713d5ae         security               0 done               18                     
task_000785_b727c84b         scientific_computing   0 done               20                     
task_000796_828a72cf         security               0 budget_exceeded    80 requests            
task_000806_07e0f661         software_engineering   1 done               30                     
task_000885_d1c1007b         data_science           0 done               50                     
task_000903_7604c91e         data_science           1 done               21                     
task_000908_170e5e4e         data_querying          0 budget_exceeded    80                     
task_000910_16cc0daf         system_administration   0 budget_exceeded    80 requests            
task_000925_9ae08ed3         data_science           0 done               15                     
task_000962_9f578fde         scientific_computing   1 done               15                     
task_000998_4d9c7852         system_administration   0 budget_exceeded    80                     
task_001028_5bc8bc70         security               0 budget_exceeded    80                     
task_001036_87bd136e         data_processing        0 done               24                     
task_001044_45c70cf1         scientific_computing   0 budget_exceeded    80                     
task_001074_90fdfe60         software_engineering   0 done               35                     
task_001201_1340f4e2         software_engineering   0 done               50                     
task_001214_f44c0aa2         security               0 budget_exceeded    80                     
task_001267_0acfd3a0         data_querying          0 budget_exceeded    80                     
task_001465_aa3ed3f8         data_science           0 budget_exceeded    80                     
task_001537_fbfffb79         software_engineering   1 budget_exceeded    80                     
task_001674_125bb961         software_engineering   0 done               33                     
task_001943_21bde569         data_science           1 done               16                     
task_002033_f03df97e         data_querying          0 budget_exceeded    80                     
task_002071_157686dd         system_administration   0 done               21                     
task_002108_a8cfbf2a         file_operations        0 budget_exceeded    80 requests            
task_002146_0bc2994c         file_operations        0 done               64                     

budget_exceeded fails: 14
moderr fails: 3
