task                          rew exit             steps    cost    elap
task_000028_ab97cdc1            0 None              None       0   113.6
task_000032_3fb303f6            0 None              None       0   236.1
task_000069_41f1682c            1 None              None       0   126.6
task_000097_d9d1d187            1 None              None       0   715.9
task_000164_ee3fd873            0 None              None       0   101.9
task_000325_3fbc5745            0 None              None       0   453.7
task_000348_31fb8c8a            0 None              None       0   608.9
task_000436_cc1c950c            1 None              None       0   368.2
task_000437_8450eef7            1 None              None       0   130.0
task_000438_fee5a792            0 None              None       0   607.6
task_000444_250abeda            1 None              None       0   370.5
task_000472_6c2ef24d            1 None              None       0   169.4
task_000506_c13429e7            0 None              None       0   509.9
task_000507_30f952ae            1 None              None       0    54.9
task_000567_d082f802            0 None              None       0    64.7
task_000628_dcc7eb30            1 None              None       0   464.1
task_000669_0ef2d04d            0 None              None       0   145.7
task_000677_1de47eed            0 None              None       0   516.9
task_000685_646c4ca7            1 None              None       0   145.2
task_000709_12e0d757            0 None              None       0   167.9
task_000710_fa628bd4            0 None              None       0   246.6
task_000713_b0778d60            0 None              None       0   398.2
task_000730_265f23f6            0 None              None       0   885.9
task_000740_8245be5c            0 None              None       0   157.9
task_000763_7713d5ae            0 None              None       0    84.6
task_000785_b727c84b            0 None              None       0    50.7
task_000796_828a72cf            0 None              None       0   767.3
task_000806_07e0f661            1 None              None       0   164.1
task_000885_d1c1007b            0 None              None       0   388.1
task_000903_7604c91e            1 None              None       0    97.4
task_000908_170e5e4e            0 None              None       0   626.8
task_000910_16cc0daf            0 None              None       0   949.5
task_000925_9ae08ed3            0 None              None       0   135.9
task_000962_9f578fde            1 None              None       0   110.5
task_000998_4d9c7852            0 None              None       0  1212.8
task_001028_5bc8bc70            0 None              None       0   759.0
task_001036_87bd136e            0 None              None       0   234.6
task_001044_45c70cf1            0 None              None       0   505.1
task_001074_90fdfe60            0 None              None       0   340.4
task_001201_1340f4e2            0 None              None       0   480.2
task_001214_f44c0aa2            0 None              None       0  1065.2
task_001267_0acfd3a0            0 None              None       0  1335.5
task_001465_aa3ed3f8            0 None              None       0   994.0
task_001537_fbfffb79            1 None              None       0  1209.0
task_001674_125bb961            0 None              None       0   240.2
task_001943_21bde569            1 None              None       0   690.1
task_002033_f03df97e            0 None              None       0   481.1
task_002071_157686dd            0 None              None       0    49.0
task_002108_a8cfbf2a            0 None              None       0   985.1
task_002146_0bc2994c            0 None              None       0   356.9
PASS: 14
