=== exit_reason / status across all tasks ===
task_000028_ab97cdc1	 reward=0	 exit=ok	 steps=?
task_000032_3fb303f6	 reward=0	 exit=ok	 steps=?
task_000069_41f1682c	 reward=1	 exit=ok	 steps=?
task_000097_d9d1d187	 reward=1	 exit=ok	 steps=?
task_000164_ee3fd873	 reward=0	 exit=ok	 steps=?
task_000325_3fbc5745	 reward=0	 exit=ok	 steps=?
task_000348_31fb8c8a	 reward=0	 exit=ok	 steps=?
task_000436_cc1c950c	 reward=0	 exit=ok	 steps=?
task_000437_8450eef7	 reward=1	 exit=ok	 steps=?
task_000438_fee5a792	 reward=0	 exit=ok	 steps=?
task_000444_250abeda	 reward=1	 exit=ok	 steps=?
task_000472_6c2ef24d	 reward=1	 exit=ok	 steps=?
task_000506_c13429e7	 reward=0	 exit=ok	 steps=?
task_000507_30f952ae	 reward=1	 exit=ok	 steps=?
task_000567_d082f802	 reward=0	 exit=ok	 steps=?
task_000628_dcc7eb30	 reward=0	 exit=ok	 steps=?
task_000669_0ef2d04d	 reward=0	 exit=ok	 steps=?
task_000677_1de47eed	 reward=0	 exit=ok	 steps=?
task_000685_646c4ca7	 reward=1	 exit=ok	 steps=?
task_000709_12e0d757	 reward=0	 exit=ok	 steps=?
task_000710_fa628bd4	 reward=0	 exit=ok	 steps=?
task_000713_b0778d60	 reward=0	 exit=ok	 steps=?
task_000730_265f23f6	 reward=0	 exit=ok	 steps=?
task_000740_8245be5c	 reward=0	 exit=ok	 steps=?
task_000763_7713d5ae	 reward=0	 exit=ok	 steps=?
task_000785_b727c84b	 reward=0	 exit=ok	 steps=?
task_000796_828a72cf	 reward=0	 exit=ok	 steps=?
task_000806_07e0f661	 reward=1	 exit=ok	 steps=?
task_000885_d1c1007b	 reward=0	 exit=ok	 steps=?
task_000903_7604c91e	 reward=1	 exit=ok	 steps=?
task_000908_170e5e4e	 reward=0	 exit=ok	 steps=?
task_000910_16cc0daf	 reward=0	 exit=ok	 steps=?
task_000925_9ae08ed3	 reward=0	 exit=ok	 steps=?
task_000962_9f578fde	 reward=1	 exit=ok	 steps=?
task_000998_4d9c7852	 reward=0	 exit=ok	 steps=?
task_001028_5bc8bc70	 reward=0	 exit=ok	 steps=?
task_001036_87bd136e	 reward=0	 exit=ok	 steps=?
task_001044_45c70cf1	 reward=0	 exit=ok	 steps=?
task_001074_90fdfe60	 reward=0	 exit=ok	 steps=?
task_001201_1340f4e2	 reward=0	 exit=ok	 steps=?
task_001214_f44c0aa2	 reward=0	 exit=ok	 steps=?
task_001267_0acfd3a0	 reward=1	 exit=ok	 steps=?
task_001465_aa3ed3f8	 reward=0	 exit=ok	 steps=?
task_001537_fbfffb79	 reward=1	 exit=ok	 steps=?
task_001674_125bb961	 reward=0	 exit=ok	 steps=?
task_001943_21bde569	 reward=1	 exit=ok	 steps=?
task_002033_f03df97e	 reward=0	 exit=ok	 steps=?
task_002071_157686dd	 reward=0	 exit=ok	 steps=?
task_002108_a8cfbf2a	 reward=0	 exit=ok	 steps=?
task_002146_0bc2994c	 reward=0	 exit=ok	 steps=?
