task_id | reward | exit_reason | steps | elapsed | domain | initial_pytest_passed
task_001028_5bc8bc70 | r=0 | budget_exceeded | steps=80 | 1610s | security | initpass=True
task_001185_636b067c | r=0 | budget_exceeded | steps=80 | 266s | system_administration | initpass=False
task_000761_072f9e93 | r=0 | budget_exceeded | steps=80 | 371s | software_engineering | initpass=True
task_000910_16cc0daf | r=0 | budget_exceeded | steps=80 | 394s | system_administration | initpass=True
task_002138_2e85672e | r=1 | budget_exceeded | steps=80 | 469s | scientific_computing | initpass=True
task_000506_c13429e7 | r=0 | budget_exceeded | steps=80 | 549s | data_querying | initpass=True
task_000032_3fb303f6 | r=0 | budget_exceeded | steps=80 | 566s | security | initpass=True
task_001044_45c70cf1 | r=0 | budget_exceeded | steps=80 | 678s | scientific_computing | initpass=True
task_001465_aa3ed3f8 | r=0 | budget_exceeded | steps=80 | 716s | data_science | initpass=True
task_000938_6d7bdc5c | r=0 | budget_exceeded | steps=80 | 810s | scientific_computing | initpass=True
task_000796_828a72cf | r=0 | budget_exceeded | steps=80 | 958s | security | initpass=True
task_000591_3cf3e3ea | r=1 | done | steps=12 | 101s | data_querying | initpass=True
task_001013_7f3bf12e | r=0 | done | steps=12 | 132s | data_processing | initpass=True
task_000763_7713d5ae | r=0 | done | steps=12 | 53s | security | initpass=True
task_000728_24ab8073 | r=1 | done | steps=13 | 113s | file_operations | initpass=True
task_000567_d082f802 | r=0 | done | steps=13 | 82s | data_science | initpass=True
task_000905_2eb18543 | r=0 | done | steps=13 | 92s | software_engineering | initpass=True
task_000925_9ae08ed3 | r=0 | done | steps=14 | 110s | data_science | initpass=True
task_000164_ee3fd873 | r=0 | done | steps=16 | 101s | scientific_computing | initpass=True
task_000669_0ef2d04d | r=0 | done | steps=18 | 186s | security | initpass=True
task_000899_879f9c13 | r=1 | done | steps=19 | 105s | security | initpass=True
task_000142_47a40a0c | r=0 | done | steps=19 | 97s | file_operations | initpass=True
task_000028_ab97cdc1 | r=0 | done | steps=20 | 108s | security | initpass=True
task_000740_8245be5c | r=0 | done | steps=20 | 123s | data_processing | initpass=True
task_000785_b727c84b | r=0 | done | steps=20 | 125s | scientific_computing | initpass=True
task_000132_53c9b8b3 | r=1 | done | steps=20 | 129s | data_science | initpass=True
task_001601_61cb1458 | r=1 | done | steps=20 | 151s | data_querying | initpass=True
task_002071_157686dd | r=0 | done | steps=20 | 49s | system_administration | initpass=True
task_000560_7dc63881 | r=1 | done | steps=20 | 94s | system_administration | initpass=True
task_001117_45cc5b85 | r=1 | done | steps=21 | 132s | debugging | initpass=False
task_001036_87bd136e | r=0 | done | steps=24 | 120s | data_processing | initpass=True
task_002047_a04b2a01 | r=1 | done | steps=27 | 143s | data_science | initpass=True
task_001037_92db2552 | r=0 | done | steps=28 | 153s | debugging | initpass=True
task_000730_265f23f6 | r=0 | done | steps=30 | 227s | debugging | initpass=True
task_000885_d1c1007b | r=0 | done | steps=31 | 252s | data_science | initpass=True
task_001674_125bb961 | r=0 | done | steps=34 | 169s | software_engineering | initpass=True
task_000908_170e5e4e | r=0 | done | steps=35 | 246s | data_querying | initpass=True
task_002146_0bc2994c | r=0 | done | steps=38 | 227s | file_operations | initpass=False
task_000061_59de805f | r=1 | done | steps=41 | 226s | security | initpass=True
task_000998_4d9c7852 | r=0 | done | steps=41 | 506s | system_administration | initpass=True
task_000677_1de47eed | r=0 | done | steps=42 | 196s | debugging | initpass=True
task_000348_31fb8c8a | r=0 | done | steps=46 | 544s | scientific_computing | initpass=True
task_000013_b393db71 | r=0 | done | steps=47 | 262s | data_processing | initpass=True
task_000438_fee5a792 | r=0 | done | steps=53 | 831s | security | initpass=True
task_001074_90fdfe60 | r=0 | done | steps=58 | 651s | software_engineering | initpass=True
task_000713_b0778d60 | r=0 | done | steps=65 | 1904s | scientific_computing | initpass=True
task_002108_a8cfbf2a | r=0 | done | steps=69 | 526s | file_operations | initpass=True
task_002033_f03df97e | r=0 | done | steps=77 | 402s | data_querying | initpass=True
task_000709_12e0d757 | r=0 | done | steps=78 | 336s | debugging | initpass=False
task_001201_1340f4e2 | r=0 | error | steps=59 | 877s | software_engineering | initpass=True
