=== exit_reason + steps + reward per task ===
task_000013_b393db71 reward= 1 exit= None steps= None cost= 0
task_000028_ab97cdc1 reward= 0 exit= None steps= None cost= 0
task_000032_3fb303f6 reward= 0 exit= None steps= None cost= 0
task_000061_59de805f reward= 1 exit= None steps= None cost= 0
task_000132_53c9b8b3 reward= 1 exit= None steps= None cost= 0
task_000142_47a40a0c reward= 0 exit= None steps= None cost= 0
task_000164_ee3fd873 reward= 0 exit= None steps= None cost= 0
task_000348_31fb8c8a reward= 0 exit= None steps= None cost= 0
task_000438_fee5a792 reward= 0 exit= None steps= None cost= 0
task_000506_c13429e7 reward= 0 exit= None steps= None cost= 0
task_000560_7dc63881 reward= 1 exit= None steps= None cost= 0
task_000567_d082f802 reward= 0 exit= None steps= None cost= 0
task_000591_3cf3e3ea reward= 1 exit= None steps= None cost= 0
task_000669_0ef2d04d reward= 0 exit= None steps= None cost= 0
task_000677_1de47eed reward= 0 exit= None steps= None cost= 0
task_000709_12e0d757 reward= 0 exit= None steps= None cost= 0
task_000713_b0778d60 reward= 0 exit= None steps= None cost= 0
task_000728_24ab8073 reward= 1 exit= None steps= None cost= 0
task_000730_265f23f6 reward= 0 exit= None steps= None cost= 0
task_000740_8245be5c reward= 0 exit= None steps= None cost= 0
task_000761_072f9e93 reward= 0 exit= None steps= None cost= 0
task_000763_7713d5ae reward= 0 exit= None steps= None cost= 0
task_000785_b727c84b reward= 0 exit= None steps= None cost= 0
task_000796_828a72cf reward= 0 exit= None steps= None cost= 0
task_000885_d1c1007b reward= 0 exit= None steps= None cost= 0
task_000899_879f9c13 reward= 1 exit= None steps= None cost= 0
task_000905_2eb18543 reward= 0 exit= None steps= None cost= 0
task_000908_170e5e4e reward= 0 exit= None steps= None cost= 0
task_000910_16cc0daf reward= 0 exit= None steps= None cost= 0
task_000925_9ae08ed3 reward= 0 exit= None steps= None cost= 0
task_000938_6d7bdc5c reward= 0 exit= None steps= None cost= 0
task_000998_4d9c7852 reward= 0 exit= None steps= None cost= 0
task_001013_7f3bf12e reward= 0 exit= None steps= None cost= 0
task_001028_5bc8bc70 reward= 0 exit= None steps= None cost= 0
task_001036_87bd136e reward= 0 exit= None steps= None cost= 0
task_001037_92db2552 reward= 0 exit= None steps= None cost= 0
task_001044_45c70cf1 reward= 0 exit= None steps= None cost= 0
task_001074_90fdfe60 reward= 0 exit= None steps= None cost= 0
task_001117_45cc5b85 reward= 1 exit= None steps= None cost= 0
task_001185_636b067c reward= 0 exit= None steps= None cost= 0
task_001201_1340f4e2 reward= 1 exit= None steps= None cost= 0
task_001465_aa3ed3f8 reward= 0 exit= None steps= None cost= 0
task_001601_61cb1458 reward= 1 exit= None steps= None cost= 0
task_001674_125bb961 reward= 0 exit= None steps= None cost= 0
task_002033_f03df97e reward= 0 exit= None steps= None cost= 0
task_002047_a04b2a01 reward= 1 exit= None steps= None cost= 0
task_002071_157686dd reward= 0 exit= None steps= None cost= 0
task_002108_a8cfbf2a reward= 0 exit= None steps= None cost= 0
task_002138_2e85672e reward= 0 exit= None steps= None cost= 0
task_002146_0bc2994c reward= 0 exit= None steps= None cost= 0
