task_001321_658ce4a8     rew=0 data_processing      steps=80 exit=budget_exceeded t=866.2
task_000958_4bb2b05d     rew=0 data_querying        steps=51 exit=done t=422.8
task_000264_ab8c7253     rew=0 data_querying        steps=80 exit=budget_exceeded t=729.3
task_000587_9862bb19     rew=0 data_science         steps=28 exit=done t=247.3
task_001653_c4cafa73     rew=0 data_science         steps=8 exit=done t=52.9
task_001781_529727cf     rew=0 debugging            steps=15 exit=done t=203.0
task_001264_9f4ca84a     rew=0 file_operations      steps=26 exit=done t=221.8
task_001032_1adaccb9     rew=0 file_operations      steps=33 exit=error t=508.1
task_001937_ac874115     rew=0 scientific_computi   steps=14 exit=done t=128.1
task_000396_e56917e2     rew=0 scientific_computi   steps=29 exit=done t=322.0
task_001031_a8f0eb37     rew=0 scientific_computi   steps=80 exit=budget_exceeded t=833.0
task_000505_50b5162d     rew=0 security             steps=12 exit=done t=72.8
task_000933_1f27096a     rew=0 software_engineeri   steps=10 exit=done t=72.1
task_000748_c9807703     rew=0 software_engineeri   steps=16 exit=done t=165.0
task_000015_89886d8d     rew=0 software_engineeri   steps=28 exit=done t=215.6
task_000140_01c78b42     rew=0 system_administrat   steps=11 exit=done t=50.2
task_001090_c61c71f2     rew=0 system_administrat   steps=21 exit=done t=179.5
task_000028_7fe033ac     rew=0 system_administrat   steps=23 exit=done t=199.1
task_000118_3043e92d     rew=0 system_administrat   steps=80 exit=budget_exceeded t=426.8
task_000010_644ab1c2     rew=0 system_administrat   steps=80 exit=budget_exceeded t=784.0
task_001591_8901fea6     rew=1 data_processing      steps=10 exit=done t=84.9
task_001761_f620d44d     rew=1 data_processing      steps=10 exit=done t=96.4
task_000956_7e92337f     rew=1 data_processing      steps=11 exit=done t=57.0
task_001706_24462a09     rew=1 data_processing      steps=20 exit=done t=173.8
task_001818_b251e5ea     rew=1 data_processing      steps=69 exit=done t=666.5
task_000912_770802f8     rew=1 data_querying        steps=15 exit=done t=169.0
task_001673_86224c91     rew=1 data_querying        steps=16 exit=done t=121.1
task_000536_9c16e8ef     rew=1 data_querying        steps=24 exit=done t=142.0
task_000740_59416444     rew=1 data_querying        steps=9 exit=done t=65.3
task_000760_76ba653c     rew=1 data_science         steps=13 exit=done t=49.4
task_001697_af4b85fb     rew=1 data_science         steps=16 exit=done t=62.8
task_000578_cebe85a5     rew=1 data_science         steps=29 exit=done t=212.8
task_001498_df8254c9     rew=1 data_science         steps=30 exit=done t=268.1
task_000684_1a33ef37     rew=1 debugging            steps=13 exit=done t=110.6
task_000965_069bb95f     rew=1 debugging            steps=16 exit=done t=145.4
task_000818_315382d9     rew=1 debugging            steps=18 exit=done t=104.9
task_000667_2d762a00     rew=1 debugging            steps=20 exit=done t=110.3
task_001089_220cc46b     rew=1 debugging            steps=80 exit=budget_exceeded t=640.2
task_000863_7acceb19     rew=1 file_operations      steps=20 exit=done t=119.1
task_000329_a3ac56b0     rew=1 file_operations      steps=21 exit=done t=148.8
task_001536_acfe6c35     rew=1 file_operations      steps=29 exit=done t=179.3
task_001421_1f2cf4c7     rew=1 file_operations      steps=31 exit=done t=127.0
task_000338_27d6a1be     rew=1 scientific_computi   steps=16 exit=done t=93.5
task_001088_6f566806     rew=1 scientific_computi   steps=8 exit=done t=65.7
task_001515_eed714e6     rew=1 security             steps=11 exit=done t=93.3
task_000206_a943669b     rew=1 security             steps=16 exit=done t=84.2
task_001652_86e1d185     rew=1 security             steps=32 exit=done t=169.2
task_001701_95e3bbcb     rew=1 security             steps=40 exit=done t=361.6
task_000024_a0664029     rew=1 software_engineeri   steps=11 exit=done t=78.2
task_000344_e265c898     rew=1 software_engineeri   steps=27 exit=done t=134.7
