  0 user        len=1988
  1 user        len=8906
  2 assistant  [TOOLCALL] len=51
  3 tool        len=7441
  4 assistant   len=1964
  5 user        len=95
  6 assistant  [TOOLCALL] len=190
  7 tool        len=28
  8 assistant  [TOOLCALL] len=51
  9 tool        len=1900
 10 assistant   len=1964
 11 user        len=95
 12 assistant  [TOOLCALL] len=152
 13 tool        len=129
 14 assistant   len=1964
 15 user        len=95
 16 assistant   len=1964
 17 user        len=95
 18 assistant  [TOOLCALL] len=125
 19 tool        len=2959
 20 assistant  [TOOLCALL] len=92
 21 tool        len=153
 22 assistant  [TOOLCALL] len=104
 23 tool        len=4584
 24 assistant   len=1964
 25 user        len=95
 26 assistant  [TOOLCALL] len=141
 27 tool        len=1900
 28 assistant  [TOOLCALL] len=86
 29 tool        len=266
 30 assistant  [TOOLCALL] len=303
 31 tool        len=1540
 32 assistant  [TOOLCALL] len=92
 33 tool        len=619
 34 assistant   len=1964
 35 user        len=95
 36 assistant  [TOOLCALL] len=1551
 37 tool        len=28
 38 assistant  [TOOLCALL] len=51
 39 tool        len=2342
 40 assistant  [TOOLCALL] len=1422
 41 tool        len=28
 42 assistant  [TOOLCALL] len=51
 43 tool        len=1830
 44 assistant  [TOOLCALL] len=94
 45 tool        len=721
 46 assistant   len=1964
 47 user        len=95
 48 assistant   len=1964
 49 user        len=95
 50 assistant  [TOOLCALL] len=116
 51 tool        len=408
 52 assistant   len=1964
 53 user        len=95
 54 user        len=276
 55 assistant  [TOOLCALL] len=347
 56 tool        len=3227
 57 assistant   len=1964
 58 user        len=95
 59 assistant  [TOOLCALL] len=367
 60 tool        len=1380
 61 assistant   len=1964
 62 user        len=95
 63 assistant  [TOOLCALL] len=367
 64 tool        len=408
 65 assistant   len=1964
 66 user        len=95
 67 assistant  [TOOLCALL] len=367
 68 tool        len=408
 69 assistant  [TOOLCALL] len=1962
 70 tool        len=69
 71 assistant   len=1964
 72 user        len=95
 73 assistant   len=1964
 74 user        len=95
 75 assistant   len=1964
 76 user        len=95
 77 assistant   len=1964
