('task_000010_644ab1c2', 'system_administration', 0, 'budget_exceeded', 80, 'budget_exceeded')
('task_000015_89886d8d', 'software_engineering', 0, 'done', 62, 'no_tool_calls')
('task_000024_a0664029', 'software_engineering', 1, 'done', 11, 'no_tool_calls')
('task_000028_7fe033ac', 'system_administration', 0, 'done', 24, 'no_tool_calls')
('task_000118_3043e92d', 'system_administration', 0, 'budget_exceeded', 80, 'budget_exceeded')
('task_000140_01c78b42', 'system_administration', 0, 'done', 11, 'no_tool_calls')
('task_000206_a943669b', 'security', 0, 'budget_exceeded', 80, 'budget_exceeded')
('task_000264_ab8c7253', 'data_querying', 0, 'done', 17, 'no_tool_calls')
('task_000329_a3ac56b0', 'file_operations', 1, 'done', 22, 'no_tool_calls')
('task_000338_27d6a1be', 'scientific_computing', 1, 'done', 14, 'no_tool_calls')
('task_000344_e265c898', 'software_engineering', 1, 'done', 27, 'no_tool_calls')
('task_000396_e56917e2', 'scientific_computing', 1, 'done', 53, 'no_tool_calls')
('task_000505_50b5162d', 'security', 0, 'done', 10, 'no_tool_calls')
('task_000536_9c16e8ef', 'data_querying', 0, 'done', 16, 'no_tool_calls')
('task_000578_cebe85a5', 'data_science', 1, 'done', 34, 'no_tool_calls')
('task_000587_9862bb19', 'data_science', 1, 'done', 24, 'no_tool_calls')
('task_000667_2d762a00', 'debugging', 1, 'done', 21, 'no_tool_calls')
('task_000684_1a33ef37', 'debugging', 1, 'done', 13, 'no_tool_calls')
('task_000740_59416444', 'data_querying', 1, 'done', 14, 'no_tool_calls')
('task_000748_c9807703', 'software_engineering', 0, 'done', 15, 'no_tool_calls')
('task_000760_76ba653c', 'data_science', 1, 'done', 13, 'no_tool_calls')
('task_000818_315382d9', 'debugging', 1, 'done', 21, 'no_tool_calls')
('task_000863_7acceb19', 'file_operations', 1, 'done', 11, 'no_tool_calls')
('task_000912_770802f8', 'data_querying', 1, 'done', 11, 'no_tool_calls')
('task_000933_1f27096a', 'software_engineering', 0, 'done', 10, 'no_tool_calls')
('task_000956_7e92337f', 'data_processing', 1, 'done', 25, 'no_tool_calls')
('task_000958_4bb2b05d', 'data_querying', 0, 'budget_exceeded', 80, 'budget_exceeded')
('task_000965_069bb95f', 'debugging', 1, 'done', 9, 'no_tool_calls')
('task_001031_a8f0eb37', 'scientific_computing', 1, 'done', 48, 'no_tool_calls')
('task_001032_1adaccb9', 'file_operations', 0, 'done', 53, 'no_tool_calls')
('task_001088_6f566806', 'scientific_computing', 1, 'done', 10, 'no_tool_calls')
('task_001089_220cc46b', 'debugging', 1, 'done', 51, 'no_tool_calls')
('task_001090_c61c71f2', 'system_administration', 1, 'done', 29, 'no_tool_calls')
('task_001264_9f4ca84a', 'file_operations', 1, 'done', 15, 'no_tool_calls')
('task_001321_658ce4a8', 'data_processing', 1, 'done', 26, 'no_tool_calls')
('task_001421_1f2cf4c7', 'file_operations', 1, 'done', 20, 'no_tool_calls')
('task_001498_df8254c9', 'data_science', 1, 'done', 47, 'no_tool_calls')
('task_001515_eed714e6', 'security', 1, 'done', 10, 'no_tool_calls')
('task_001536_acfe6c35', 'file_operations', 1, 'done', 33, 'no_tool_calls')
('task_001591_8901fea6', 'data_processing', 1, 'done', 9, 'no_tool_calls')
('task_001652_86e1d185', 'security', 1, 'done', 30, 'no_tool_calls')
('task_001653_c4cafa73', 'data_science', 0, 'done', 8, 'no_tool_calls')
('task_001673_86224c91', 'data_querying', 1, 'done', 42, 'no_tool_calls')
('task_001697_af4b85fb', 'data_science', 1, 'done', 19, 'no_tool_calls')
('task_001701_95e3bbcb', 'security', 0, 'done', 73, 'no_tool_calls')
('task_001706_24462a09', 'data_processing', 1, 'done', 23, 'no_tool_calls')
('task_001761_f620d44d', 'data_processing', 1, 'done', 8, 'no_tool_calls')
('task_001781_529727cf', 'debugging', 0, 'done', 15, 'no_tool_calls')
('task_001818_b251e5ea', 'data_processing', 1, 'done', 39, 'no_tool_calls')
('task_001937_ac874115', 'scientific_computing', 0, 'done', 17, 'no_tool_calls')
total 50 passed 33
