(0, 'data_processing', 'budget_exceeded', 'budget_exceeded', 'task_001706_24462a09')
(0, 'data_processing', 'done', 'no_tool_calls', 'task_001818_b251e5ea')
(0, 'data_querying', 'budget_exceeded', 'budget_exceeded', 'task_000958_4bb2b05d')
(0, 'data_querying', 'done', 'no_tool_calls', 'task_000264_ab8c7253')
(0, 'data_querying', 'done', 'no_tool_calls', 'task_000536_9c16e8ef')
(0, 'data_science', 'done', 'no_tool_calls', 'task_000587_9862bb19')
(0, 'data_science', 'done', 'no_tool_calls', 'task_001653_c4cafa73')
(0, 'debugging', 'done', 'no_tool_calls', 'task_001781_529727cf')
(0, 'file_operations', 'done', 'no_tool_calls', 'task_001032_1adaccb9')
(0, 'scientific_computing', 'done', 'no_tool_calls', 'task_000396_e56917e2')
(0, 'scientific_computing', 'done', 'no_tool_calls', 'task_001937_ac874115')
(0, 'scientific_computing', 'error', 'error', 'task_001031_a8f0eb37')
(0, 'security', 'done', 'no_tool_calls', 'task_000505_50b5162d')
(0, 'software_engineering', 'done', 'no_tool_calls', 'task_000015_89886d8d')
(0, 'software_engineering', 'done', 'no_tool_calls', 'task_000748_c9807703')
(0, 'software_engineering', 'done', 'no_tool_calls', 'task_000933_1f27096a')
(0, 'system_administration', 'done', 'no_tool_calls', 'task_000010_644ab1c2')
(0, 'system_administration', 'done', 'no_tool_calls', 'task_000028_7fe033ac')
(0, 'system_administration', 'done', 'no_tool_calls', 'task_000118_3043e92d')
(0, 'system_administration', 'done', 'no_tool_calls', 'task_000140_01c78b42')
(0, 'system_administration', 'done', 'no_tool_calls', 'task_001090_c61c71f2')
(1, 'data_processing', 'done', 'no_tool_calls', 'task_000956_7e92337f')
(1, 'data_processing', 'done', 'no_tool_calls', 'task_001321_658ce4a8')
(1, 'data_processing', 'done', 'no_tool_calls', 'task_001591_8901fea6')
(1, 'data_processing', 'done', 'no_tool_calls', 'task_001761_f620d44d')
(1, 'data_querying', 'done', 'no_tool_calls', 'task_000740_59416444')
(1, 'data_querying', 'done', 'no_tool_calls', 'task_000912_770802f8')
(1, 'data_querying', 'done', 'no_tool_calls', 'task_001673_86224c91')
(1, 'data_science', 'done', 'no_tool_calls', 'task_000578_cebe85a5')
(1, 'data_science', 'done', 'no_tool_calls', 'task_000760_76ba653c')
(1, 'data_science', 'done', 'no_tool_calls', 'task_001498_df8254c9')
(1, 'data_science', 'done', 'no_tool_calls', 'task_001697_af4b85fb')
(1, 'debugging', 'done', 'no_tool_calls', 'task_000667_2d762a00')
(1, 'debugging', 'done', 'no_tool_calls', 'task_000684_1a33ef37')
(1, 'debugging', 'done', 'no_tool_calls', 'task_000818_315382d9')
(1, 'debugging', 'done', 'no_tool_calls', 'task_000965_069bb95f')
(1, 'debugging', 'done', 'no_tool_calls', 'task_001089_220cc46b')
(1, 'file_operations', 'done', 'no_tool_calls', 'task_000329_a3ac56b0')
(1, 'file_operations', 'done', 'no_tool_calls', 'task_000863_7acceb19')
(1, 'file_operations', 'done', 'no_tool_calls', 'task_001264_9f4ca84a')
(1, 'file_operations', 'done', 'no_tool_calls', 'task_001421_1f2cf4c7')
(1, 'file_operations', 'done', 'no_tool_calls', 'task_001536_acfe6c35')
(1, 'scientific_computing', 'done', 'no_tool_calls', 'task_000338_27d6a1be')
(1, 'scientific_computing', 'done', 'no_tool_calls', 'task_001088_6f566806')
(1, 'security', 'done', 'no_tool_calls', 'task_000206_a943669b')
(1, 'security', 'done', 'no_tool_calls', 'task_001515_eed714e6')
(1, 'security', 'done', 'no_tool_calls', 'task_001652_86e1d185')
(1, 'security', 'done', 'no_tool_calls', 'task_001701_95e3bbcb')
(1, 'software_engineering', 'done', 'no_tool_calls', 'task_000024_a0664029')
(1, 'software_engineering', 'done', 'no_tool_calls', 'task_000344_e265c898')
