n= 50
('task_000010_644ab1c2', 0, 'budget_exceeded', 80, 'system_administrat')
('task_000015_89886d8d', 0, 'done', 37, 'software_engineeri')
('task_000024_a0664029', 1, 'done', 11, 'software_engineeri')
('task_000028_7fe033ac', 0, 'done', 31, 'system_administrat')
('task_000118_3043e92d', 0, 'budget_exceeded', 80, 'system_administrat')
('task_000140_01c78b42', 0, 'done', 12, 'system_administrat')
('task_000206_a943669b', 1, 'done', 16, 'security')
('task_000264_ab8c7253', 0, 'budget_exceeded', 80, 'data_querying')
('task_000329_a3ac56b0', 1, 'done', 16, 'file_operations')
('task_000338_27d6a1be', 1, 'done', 13, 'scientific_computi')
('task_000344_e265c898', 1, 'done', 26, 'software_engineeri')
('task_000396_e56917e2', 0, 'done', 29, 'scientific_computi')
('task_000505_50b5162d', 0, 'done', 10, 'security')
('task_000536_9c16e8ef', 1, 'done', 20, 'data_querying')
('task_000578_cebe85a5', 1, 'done', 36, 'data_science')
('task_000587_9862bb19', 1, 'done', 20, 'data_science')
('task_000667_2d762a00', 1, 'done', 20, 'debugging')
('task_000684_1a33ef37', 1, 'done', 22, 'debugging')
('task_000740_59416444', 1, 'done', 8, 'data_querying')
('task_000748_c9807703', 0, 'done', 17, 'software_engineeri')
('task_000760_76ba653c', 1, 'done', 13, 'data_science')
('task_000818_315382d9', 1, 'done', 18, 'debugging')
('task_000863_7acceb19', 1, 'done', 12, 'file_operations')
('task_000912_770802f8', 1, 'done', 12, 'data_querying')
('task_000933_1f27096a', 0, 'done', 10, 'software_engineeri')
('task_000956_7e92337f', 1, 'done', 11, 'data_processing')
('task_000958_4bb2b05d', 0, 'done', 44, 'data_querying')
('task_000965_069bb95f', 1, 'done', 16, 'debugging')
('task_001031_a8f0eb37', 0, 'budget_exceeded', 80, 'scientific_computi')
('task_001032_1adaccb9', 0, 'done', 45, 'file_operations')
('task_001088_6f566806', 1, 'done', 8, 'scientific_computi')
('task_001089_220cc46b', 1, 'done', 50, 'debugging')
('task_001090_c61c71f2', 0, 'done', 28, 'system_administrat')
('task_001264_9f4ca84a', 1, 'done', 20, 'file_operations')
('task_001321_658ce4a8', 0, 'budget_exceeded', 80, 'data_processing')
('task_001421_1f2cf4c7', 1, 'done', 26, 'file_operations')
('task_001498_df8254c9', 1, 'done', 19, 'data_science')
('task_001515_eed714e6', 0, 'done', 11, 'security')
('task_001536_acfe6c35', 0, 'done', 60, 'file_operations')
('task_001591_8901fea6', 1, 'done', 10, 'data_processing')
('task_001652_86e1d185', 1, 'done', 49, 'security')
('task_001653_c4cafa73', 0, 'done', 8, 'data_science')
('task_001673_86224c91', 1, 'done', 29, 'data_querying')
('task_001697_af4b85fb', 1, 'done', 29, 'data_science')
('task_001701_95e3bbcb', 1, 'done', 47, 'security')
('task_001706_24462a09', 1, 'done', 20, 'data_processing')
('task_001761_f620d44d', 1, 'done', 12, 'data_processing')
('task_001781_529727cf', 0, 'done', 16, 'debugging')
('task_001818_b251e5ea', 1, 'done', 43, 'data_processing')
('task_001937_ac874115', 0, 'done', 15, 'scientific_computi')
PASS 30 / 50
Counter({'done': 45, 'budget_exceeded': 5})
