task                      rew exit              steps elapsed_s
task_001032_1adaccb9      0   done              50    845
task_001031_a8f0eb37      0   done              54    699
task_000010_644ab1c2      0   budget_exceeded   80    555
task_001701_95e3bbcb      0   budget_exceeded   80    366
task_000015_89886d8d      0   done              47    345
task_000028_7fe033ac      0   done              54    325
task_000958_4bb2b05d      0   done              64    304
task_000396_e56917e2      0   done              29    223
task_001321_658ce4a8      0   done              31    135
task_000118_3043e92d      0   done              24    97
task_001937_ac874115      0   done              16    93
task_000748_c9807703      0   done              17    82
task_000264_ab8c7253      0   done              22    80
task_000587_9862bb19      0   done              24    70
task_000505_50b5162d      0   done              14    68
task_001653_c4cafa73      0   done              9     43
task_000140_01c78b42      0   done              11    41
task_000933_1f27096a      0   done              10    41
task_001781_529727cf      0   done              12    40
task_000760_76ba653c      0   None              None  0
task_000684_1a33ef37      0   None              None  0
task_001761_f620d44d      0   None              None  0
task_000912_770802f8      0   None              None  0
task_001818_b251e5ea      1   done              40    642
task_001536_acfe6c35      1   done              36    232
task_001673_86224c91      1   done              49    181
task_001089_220cc46b      1   done              24    111
task_001706_24462a09      1   done              23    105
task_001652_86e1d185      1   done              32    104
task_000578_cebe85a5      1   done              37    100
task_001498_df8254c9      1   done              21    92
task_000818_315382d9      1   done              21    92
task_001697_af4b85fb      1   done              22    91
task_000344_e265c898      1   done              27    87
task_000667_2d762a00      1   done              20    80
task_001090_c61c71f2      1   done              29    71
task_000206_a943669b      1   done              20    67
task_000338_27d6a1be      1   done              19    62
task_000965_069bb95f      1   done              14    58
task_001591_8901fea6      1   done              18    55
task_001421_1f2cf4c7      1   done              19    50
task_001264_9f4ca84a      1   done              16    45
task_001088_6f566806      1   done              9     44
task_000536_9c16e8ef      1   done              17    40
task_000863_7acceb19      1   done              12    38
task_000956_7e92337f      1   done              10    38
task_000024_a0664029      1   done              11    37
task_001515_eed714e6      1   done              13    35
task_000329_a3ac56b0      1   done              15    33
task_000740_59416444      1   done              11    27

FAIL exit reasons: {'done': 17, 'budget_exceeded': 2, None: 4}
PASS exit reasons: {'done': 27}
