task | reward | steps | max_repeated_identical_bash_cmd
task_000010_644ab1c2 | 0 | 39 | 10x 'cd /tmp && python3 -c "import sys; sys.path.insert'
task_000015_89886d8d | 0 | 80 | 5x "cat > /home/user/migrate.py << 'EOF'\n#!/usr/bin/en"
task_000024_a0664029 | 1 | 13 | 1x 'find /home/user/sdk -name "libmobileutils.so" 2>/d'
task_000028_7fe033ac | 0 | 75 | 8x 'cat /app/server.cpp'
task_000118_3043e92d | 0 | 29 | 2x 'cat /home/user/deployment_monitor.py'
task_000140_01c78b42 | 0 | 22 | 4x 'cat /home/user/vm_setup.log'
task_000206_a943669b | 1 | 21 | 2x 'cat /home/user/findings.txt'
task_000264_ab8c7253 | 0 | 16 | 2x 'sqlite3 company.db "EXPLAIN QUERY PLAN\nWITH RECURS'
task_000329_a3ac56b0 | 1 | 20 | 1x 'cd /home/user && tar -xzf config_archive.tar.gz &&'
task_000338_27d6a1be | 0 | 80 | 26x 'convert /app/kernel_spec.png -size 300x300 xc:whit'
task_000344_e265c898 | 1 | 80 | 4x 'cd /home/user/stack_machine && pip install -e . 2>'
task_000396_e56917e2 | 1 | 74 | 5x 'cd /app/lib-rk45 && make clean && make && ./rk45_s'
task_000505_50b5162d | 0 | 13 | 1x 'file /app/evidence.png'
task_000536_9c16e8ef | 1 | 22 | 3x 'sqlite3 /app/audit.db "SELECT * FROM access_logs;"'
task_000578_cebe85a5 | 1 | 34 | 5x 'cd /home/user/workspace && go build -o dataorg mai'
task_000587_9862bb19 | 1 | 21 | 2x 'cat /home/user/recommender/src/csv_parser.cpp'
task_000667_2d762a00 | 1 | 20 | 1x 'cd /home/user/math_utils && find . -type f | head '
task_000684_1a33ef37 | 1 | 28 | 2x 'cat /home/user/find_root.py'
task_000740_59416444 | 0 | 39 | 10x "tee /home/user/clean_graph.c << 'ENDOFFILE'\n#inclu"
task_000748_c9807703 | 0 | 33 | 2x 'rm -f /home/user/diff_output.patch /home/user/rust'
task_000760_76ba653c | 1 | 18 | 1x 'echo "1.0,2.0,3.0" | /app/model_predict'
task_000818_315382d9 | 1 | 28 | 2x 'cd /home/user/forensics_project && ls -la'
task_000863_7acceb19 | 1 | 14 | 1x 'ls -la /home/user/'
task_000912_770802f8 | 1 | 11 | 1x 'sqlite3 /home/user/network.db ".schema"'
task_000933_1f27096a | 0 | 10 | 1x 'mkdir -p /home/user/src /home/user/data /home/user'
task_000956_7e92337f | 1 | 17 | 2x 'cat /home/user/processed_errors.json'
task_000958_4bb2b05d | 0 | 80 | 26x 'grep -n "0.3" httplib.h | head -10'
task_000965_069bb95f | 1 | 15 | 2x 'cat /home/user/sensor_processor.py'
task_001031_a8f0eb37 | 0 | 69 | 41x "cat > /home/user/analyze.py << 'ENDOFFILE'\n#!/usr/"
task_001032_1adaccb9 | 0 | 80 | 15x 'grep -n "^int main" /home/user/safe_extractor.cpp'
task_001088_6f566806 | 1 | 12 | 1x 'cat /home/user/sequences.fasta'
task_001089_220cc46b | 0 | 80 | 27x 'cd /home/user/app && tcpdump -r traffic.pcap -n 2>'
task_001090_c61c71f2 | 0 | 80 | 15x 'ps aux | grep "./monitor" | grep -v grep'
task_001264_9f4ca84a | 1 | 18 | 1x 'ls -la /app/artifact_feed.mp4 && file /app/artifac'
task_001321_658ce4a8 | 0 | 77 | 15x "cat > /home/user/extractor.c << 'EOF'\n#include <st"
task_001421_1f2cf4c7 | 1 | 22 | 2x 'cat /app/vendored/doc_canonicalizer/parser.py'
task_001498_df8254c9 | 1 | 18 | 1x 'ls -la /app/ && file /app/experiment_video.mp4'
task_001515_eed714e6 | 1 | 14 | 1x 'head -50 /home/user/auth.log'
task_001536_acfe6c35 | 0 | 80 | 22x 'gunzip -c /tmp/output/clean.pack 2>&1'
task_001591_8901fea6 | 1 | 48 | 11x '# Create test file with malformed unicode escapes '
task_001652_86e1d185 | 1 | 76 | 8x ''
task_001653_c4cafa73 | 0 | 21 | 2x 'cat /home/user/etl_report.txt'
task_001673_86224c91 | 0 | 80 | 15x '# Try to kill all zombie processes using kill -9 -'
task_001697_af4b85fb | 0 | 57 | 28x ''
task_001701_95e3bbcb | 1 | 57 | 5x "cat > /home/user/classifier.sh << 'EOF'\n#!/bin/bas"
task_001706_24462a09 | 0 | 80 | 33x 'redis-cli LLEN csv_input'
task_001761_f620d44d | 1 | 8 | 1x 'head -20 /home/user/loc_telemetry.csv'
task_001781_529727cf | 0 | 19 | 2x 'cat /home/user/audio-analyzer/src/main.rs'
task_001818_b251e5ea | 0 | 80 | 7x 'cd /home/user/ticket_processor && cargo build --re'
task_001937_ac874115 | 0 | 80 | 20x 'ls -la /home/user/'
