task_000009_7a3d643e | reward 1 | exit done | steps 27 | elapsed 182
task_000010_644ab1c2 | reward 0 | exit budget_exceeded | steps 80 | elapsed 629
task_000011_d089ef35 | reward 0 | exit budget_exceeded | steps 80 | elapsed 509
task_000015_89886d8d | reward 0 | exit budget_exceeded | steps 80 | elapsed 393
task_000028_7fe033ac | reward 0 | exit done | steps 52 | elapsed 307
task_000069_41f1682c | reward 0 | exit done | steps 14 | elapsed 78
task_000106_23215092 | reward 0 | exit done | steps 53 | elapsed 423
task_000111_cbada64a | reward 0 | exit done | steps 23 | elapsed 198
task_000118_3043e92d | reward 0 | exit budget_exceeded | steps 80 | elapsed 475
task_000133_20c45b39 | reward 0 | exit done | steps 79 | elapsed 614
task_000140_01c78b42 | reward 0 | exit done | steps 25 | elapsed 259
task_000187_30465ebf | reward 0 | exit done | steps 51 | elapsed 438
task_000264_ab8c7253 | reward 0 | exit done | steps 16 | elapsed 161
task_000313_1dce9844 | reward 0 | exit budget_exceeded | steps 80 | elapsed 648
task_000378_4e8f5e62 | reward 0 | exit done | steps 40 | elapsed 250
task_000477_de422e4d | reward 0 | exit budget_exceeded | steps 80 | elapsed 436
task_000505_50b5162d | reward 0 | exit done | steps 13 | elapsed 129
task_000506_c13429e7 | reward 0 | exit done | steps 74 | elapsed 463
task_000510_b49b430c | reward 0 | exit budget_exceeded | steps 80 | elapsed 318
task_000602_80df7888 | reward 1 | exit done | steps 10 | elapsed 76
task_000682_af0248a6 | reward 1 | exit done | steps 21 | elapsed 150
task_000683_7c966a71 | reward 0 | exit budget_exceeded | steps 80 | elapsed 629
task_000710_be315cd9 | reward 1 | exit done | steps 10 | elapsed 84
task_000737_e692349c | reward 0 | exit budget_exceeded | steps 80 | elapsed 611
task_000747_424c178b | reward 0 | exit done | steps 61 | elapsed 264
task_000748_c9807703 | reward 0 | exit done | steps 18 | elapsed 261
task_000760_e197f7ff | reward 1 | exit done | steps 29 | elapsed 173
task_000790_aa4e64f9 | reward 1 | exit done | steps 23 | elapsed 213
task_000791_d6ead166 | reward 1 | exit done | steps 16 | elapsed 103
task_000933_1f27096a | reward 0 | exit done | steps 10 | elapsed 69
task_000936_2a78f3ca | reward 0 | exit done | steps 26 | elapsed 192
task_000958_4bb2b05d | reward 0 | exit budget_exceeded | steps 80 | elapsed 423
task_001031_a8f0eb37 | reward 0 | exit budget_exceeded | steps 80 | elapsed 551
task_001035_26564093 | reward 0 | exit done | steps 19 | elapsed 129
task_001098_f5acdd79 | reward 0 | exit done | steps 27 | elapsed 244
task_001108_67ae0570 | reward 1 | exit done | steps 37 | elapsed 210
task_001122_b0a92ce7 | reward 0 | exit done | steps 13 | elapsed 187
task_001207_44e97fe1 | reward 0 | exit budget_exceeded | steps 80 | elapsed 491
task_001321_658ce4a8 | reward 0 | exit budget_exceeded | steps 80 | elapsed 658
task_001330_f5aff1f5 | reward 0 | exit done | steps 16 | elapsed 178
task_001382_6c9d34ea | reward 0 | exit budget_exceeded | steps 80 | elapsed 513
task_001653_c4cafa73 | reward 0 | exit done | steps 53 | elapsed 420
task_001697_af4b85fb | reward 0 | exit done | steps 26 | elapsed 308
task_001706_24462a09 | reward 0 | exit done | steps 51 | elapsed 558
task_001832_dd672877 | reward 0 | exit error | steps 72 | elapsed 386
task_001857_24daeef3 | reward 0 | exit budget_exceeded | steps 80 | elapsed 904
task_001937_ac874115 | reward 0 | exit done | steps 58 | elapsed 2090
task_001979_a1e24b6f | reward 0 | exit done | steps 13 | elapsed 192
task_002063_8c8adcfe | reward 0 | exit done | steps 64 | elapsed 531
task_002096_10c788c9 | reward 1 | exit done | steps 27 | elapsed 190
