task_000009_7a3d643e         reward=1 exit=done steps=11
task_000010_644ab1c2         reward=0 exit=budget_exceeded steps=80
task_000011_d089ef35         reward=0 exit=done steps=79
task_000015_89886d8d         reward=0 exit=done steps=30
task_000028_7fe033ac         reward=0 exit=budget_exceeded steps=80
task_000069_41f1682c         reward=1 exit=done steps=15
task_000106_23215092         reward=0 exit=done steps=35
task_000111_cbada64a         reward=0 exit=done steps=7
task_000118_3043e92d         reward=0 exit=budget_exceeded steps=80
task_000133_20c45b39         reward=1 exit=done steps=57
task_000140_01c78b42         reward=0 exit=done steps=11
task_000187_30465ebf         reward=1 exit=done steps=30
task_000264_ab8c7253         reward=0 exit=done steps=17
task_000313_1dce9844         reward=0 exit=budget_exceeded steps=80
task_000378_4e8f5e62         reward=0 exit=done steps=33
task_000396_e56917e2         reward=0 exit=done steps=36
task_000477_de422e4d         reward=1 exit=done steps=47
task_000505_50b5162d         reward=0 exit=done steps=12
task_000506_c13429e7         reward=0 exit=budget_exceeded steps=80
task_000587_9862bb19         reward=1 exit=done steps=22
task_000602_80df7888         reward=1 exit=done steps=9
task_000682_af0248a6         reward=1 exit=done steps=48
task_000683_7c966a71         reward=1 exit=done steps=22
task_000710_be315cd9         reward=1 exit=done steps=8
task_000737_e692349c         reward=1 exit=done steps=34
task_000748_c9807703         reward=0 exit=done steps=16
task_000760_e197f7ff         reward=0 exit=done steps=48
task_000790_aa4e64f9         reward=1 exit=done steps=14
task_000791_d6ead166         reward=1 exit=done steps=15
task_000933_1f27096a         reward=0 exit=done steps=10
task_000958_4bb2b05d         reward=0 exit=budget_exceeded steps=80
task_001031_a8f0eb37         reward=0 exit=done steps=43
task_001032_1adaccb9         reward=0 exit=done steps=78
task_001035_26564093         reward=0 exit=done steps=19
task_001090_c61c71f2         reward=1 exit=done steps=33
task_001098_f5acdd79         reward=0 exit=error steps=42
task_001108_67ae0570         reward=1 exit=done steps=22
task_001122_b0a92ce7         reward=1 exit=done steps=15
task_001207_44e97fe1         reward=0 exit=budget_exceeded steps=80
task_001321_658ce4a8         reward=1 exit=done steps=37
task_001382_6c9d34ea         reward=1 exit=done steps=13
task_001536_acfe6c35         reward=1 exit=done steps=31
task_001653_c4cafa73         reward=0 exit=done steps=8
task_001781_529727cf         reward=0 exit=done steps=15
task_001832_dd672877         reward=1 exit=done steps=44
task_001857_24daeef3         reward=0 exit=budget_exceeded steps=80
task_001937_ac874115         reward=0 exit=done steps=17
task_001979_a1e24b6f         reward=0 exit=error steps=44
task_002063_8c8adcfe         reward=0 exit=done steps=21
task_002096_10c788c9         reward=1 exit=done steps=15
