=== elapsed_s and steps per task ===
task_001032_1adaccb9     reward=0 steps=  78 elapsed= 1328.5 finished=no_tool_calls exit=done
task_000011_d089ef35     reward=0 steps=  79 elapsed=  962.0 finished=no_tool_calls exit=done
task_000010_644ab1c2     reward=0 steps=  80 elapsed=  787.5 finished=budget_exceeded exit=budget_exceeded
task_001031_a8f0eb37     reward=0 steps=  43 elapsed=  762.1 finished=no_tool_calls exit=done
task_000106_23215092     reward=0 steps=  35 elapsed=  753.6 finished=no_tool_calls exit=done
task_000264_ab8c7253     reward=0 steps=  17 elapsed=  687.4 finished=no_tool_calls exit=done
task_001857_24daeef3     reward=0 steps=  80 elapsed=  683.2 finished=budget_exceeded exit=budget_exceeded
task_001979_a1e24b6f     reward=0 steps=  44 elapsed=  495.7 finished=error exit=error
task_000477_de422e4d     reward=1 steps=  47 elapsed=  491.1 finished=no_tool_calls exit=done
task_000313_1dce9844     reward=0 steps=  80 elapsed=  467.7 finished=budget_exceeded exit=budget_exceeded
task_000506_c13429e7     reward=0 steps=  80 elapsed=  372.4 finished=budget_exceeded exit=budget_exceeded
task_000958_4bb2b05d     reward=0 steps=  80 elapsed=  341.1 finished=budget_exceeded exit=budget_exceeded
task_000028_7fe033ac     reward=0 steps=  80 elapsed=  331.3 finished=budget_exceeded exit=budget_exceeded
task_000133_20c45b39     reward=1 steps=  57 elapsed=  331.1 finished=no_tool_calls exit=done
task_000396_e56917e2     reward=0 steps=  36 elapsed=  236.0 finished=no_tool_calls exit=done
task_001207_44e97fe1     reward=0 steps=  80 elapsed=  231.0 finished=budget_exceeded exit=budget_exceeded
task_001321_658ce4a8     reward=1 steps=  37 elapsed=  175.5 finished=no_tool_calls exit=done
task_000118_3043e92d     reward=0 steps=  80 elapsed=  162.8 finished=budget_exceeded exit=budget_exceeded
task_000187_30465ebf     reward=1 steps=  30 elapsed=  162.0 finished=no_tool_calls exit=done
task_000015_89886d8d     reward=0 steps=  30 elapsed=  157.8 finished=no_tool_calls exit=done
task_001832_dd672877     reward=1 steps=  44 elapsed=  157.7 finished=no_tool_calls exit=done
task_000682_af0248a6     reward=1 steps=  48 elapsed=  149.2 finished=no_tool_calls exit=done
task_001098_f5acdd79     reward=0 steps=  42 elapsed=  144.2 finished=error exit=error
task_000737_e692349c     reward=1 steps=  34 elapsed=  143.8 finished=no_tool_calls exit=done
task_000378_4e8f5e62     reward=0 steps=  33 elapsed=  138.7 finished=no_tool_calls exit=done
task_000683_7c966a71     reward=1 steps=  22 elapsed=  125.7 finished=no_tool_calls exit=done
task_002063_8c8adcfe     reward=0 steps=  21 elapsed=  116.8 finished=no_tool_calls exit=done
task_001090_c61c71f2     reward=1 steps=  33 elapsed=  111.5 finished=no_tool_calls exit=done
task_001536_acfe6c35     reward=1 steps=  31 elapsed=  104.0 finished=no_tool_calls exit=done
task_000760_e197f7ff     reward=0 steps=  48 elapsed=  102.8 finished=no_tool_calls exit=done
