total 50 pass 10 fail 40
--- FAILURES ---
(0, 'data_processing', 'task_001013_7f3bf12e', 'no_tool_calls', 19, 80.5)
(0, 'data_processing', 'task_001979_a1e24b6f', 'budget_exceeded', 80, 714.5)
(0, 'data_querying', 'task_000264_ab8c7253', 'no_tool_calls', 17, 79.3)
(0, 'data_querying', 'task_000506_c13429e7', 'budget_exceeded', 80, 1020.5)
(0, 'data_querying', 'task_000958_4bb2b05d', 'budget_exceeded', 80, 1148.6)
(0, 'data_querying', 'task_001547_8cde5da2', 'no_tool_calls', 30, 224.0)
(0, 'data_science', 'task_000109_09ddd96b', 'no_tool_calls', 30, 348.3)
(0, 'data_science', 'task_000328_80fb4c9f', 'no_tool_calls', 11, 99.2)
(0, 'data_science', 'task_000409_ff1246d3', 'no_tool_calls', 47, 364.1)
(0, 'data_science', 'task_001653_c4cafa73', 'no_tool_calls', 8, 33.0)
(0, 'data_science', 'task_001832_dd672877', 'no_tool_calls', 67, 740.7)
(0, 'debugging', 'task_001116_4c65c2f5', 'budget_exceeded', 80, 725.9)
(0, 'debugging', 'task_001781_529727cf', 'no_tool_calls', 15, 49.1)
(0, 'debugging', 'task_001857_24daeef3', 'no_tool_calls', 77, 905.9)
(0, 'debugging', 'task_001877_bd2513aa', 'no_tool_calls', 43, 134.6)
(0, 'file_operations', 'task_001032_1adaccb9', 'no_tool_calls', 68, 846.9)
(0, 'file_operations', 'task_001704_84808671', 'budget_exceeded', 80, 320.6)
(0, 'file_operations', 'task_001837_deaf31cb', 'budget_exceeded', 80, 767.9)
(0, 'scientific_computing', 'task_000111_cbada64a', 'no_tool_calls', 7, 26.2)
(0, 'scientific_computing', 'task_000117_1b598e44', 'no_tool_calls', 24, 53.5)
(0, 'scientific_computing', 'task_001031_a8f0eb37', 'no_tool_calls', 58, 821.4)
(0, 'scientific_computing', 'task_001035_26564093', 'no_tool_calls', 58, 367.4)
(0, 'scientific_computing', 'task_001048_14335141', 'no_tool_calls', 15, 63.1)
(0, 'scientific_computing', 'task_001937_ac874115', 'no_tool_calls', 17, 60.4)
(0, 'security', 'task_000297_01ba10b6', 'no_tool_calls', 17, 53.4)
(0, 'security', 'task_000505_50b5162d', 'no_tool_calls', 10, 40.5)
(0, 'security', 'task_001207_44e97fe1', 'budget_exceeded', 80, 218.5)
(0, 'security', 'task_001696_b87e1463', 'no_tool_calls', 16, 129.7)
(0, 'software_engineering', 'task_000015_89886d8d', 'no_tool_calls', 31, 163.1)
(0, 'software_engineering', 'task_000378_4e8f5e62', 'no_tool_calls', 36, 119.0)
(0, 'software_engineering', 'task_000635_64d4f731', 'no_tool_calls', 31, 68.7)
(0, 'software_engineering', 'task_000748_c9807703', 'no_tool_calls', 16, 60.9)
(0, 'software_engineering', 'task_000933_1f27096a', 'no_tool_calls', 10, 39.5)
(0, 'software_engineering', 'task_002063_8c8adcfe', 'no_tool_calls', 34, 137.4)
(0, 'system_administration', 'task_000010_644ab1c2', 'no_tool_calls', 34, 230.8)
(0, 'system_administration', 'task_000028_7fe033ac', 'no_tool_calls', 39, 154.6)
(0, 'system_administration', 'task_000118_3043e92d', 'budget_exceeded', 80, 251.1)
(0, 'system_administration', 'task_000140_01c78b42', 'no_tool_calls', 12, 54.0)
(0, 'system_administration', 'task_000321_ad43caad', 'budget_exceeded', 80, 682.3)
(0, 'system_administration', 'task_001090_c61c71f2', 'no_tool_calls', 24, 98.1)
