('task_000010_644ab1c2', 0, 'ok', 'done', 29, 'no_tool_calls')
('task_000015_89886d8d', 0, 'ok', 'budget_exceeded', 80, 'budget_exceeded')
('task_000024_a0664029', 1, 'ok', 'budget_exceeded', 80, 'budget_exceeded')
('task_000028_7fe033ac', 0, 'ok', 'budget_exceeded', 80, 'budget_exceeded')
('task_000118_3043e92d', 0, 'ok', 'done', 32, 'no_tool_calls')
('task_000140_01c78b42', 0, 'ok', 'done', 75, 'no_tool_calls')
('task_000206_a943669b', 1, 'ok', 'done', 26, 'no_tool_calls')
('task_000264_ab8c7253', 0, 'ok', 'done', 16, 'no_tool_calls')
('task_000329_a3ac56b0', 0, 'ok', 'budget_exceeded', 80, 'budget_exceeded')
('task_000338_27d6a1be', 0, 'ok', 'done', 34, 'no_tool_calls')
('task_000344_e265c898', 1, 'ok', 'done', 51, 'no_tool_calls')
('task_000396_e56917e2', 0, 'ok', 'done', 45, 'no_tool_calls')
('task_000505_50b5162d', 0, 'ok', 'done', 14, 'no_tool_calls')
('task_000536_9c16e8ef', 1, 'ok', 'done', 36, 'no_tool_calls')
('task_000578_cebe85a5', 1, 'ok', 'done', 40, 'no_tool_calls')
('task_000587_9862bb19', 1, 'ok', 'done', 24, 'no_tool_calls')
('task_000667_2d762a00', 1, 'ok', 'done', 18, 'no_tool_calls')
('task_000684_1a33ef37', 1, 'ok', 'done', 27, 'no_tool_calls')
('task_000740_59416444', 0, 'ok', 'done', 44, 'no_tool_calls')
('task_000748_c9807703', 1, 'ok', 'done', 36, 'no_tool_calls')
('task_000760_76ba653c', 1, 'ok', 'done', 18, 'no_tool_calls')
('task_000818_315382d9', 1, 'ok', 'done', 32, 'no_tool_calls')
('task_000863_7acceb19', 1, 'ok', 'done', 15, 'no_tool_calls')
('task_000912_770802f8', 1, 'ok', 'done', 10, 'no_tool_calls')
('task_000933_1f27096a', 0, 'ok', 'done', 10, 'no_tool_calls')
('task_000956_7e92337f', 1, 'ok', 'done', 12, 'no_tool_calls')
('task_000958_4bb2b05d', 0, 'ok', 'done', 74, 'no_tool_calls')
('task_000965_069bb95f', 1, 'ok', 'done', 15, 'no_tool_calls')
('task_001031_a8f0eb37', 0, 'agent_error', 'error', 70, 'error')
('task_001032_1adaccb9', 0, 'ok', 'done', 46, 'no_tool_calls')
('task_001088_6f566806', 1, 'ok', 'done', 12, 'no_tool_calls')
('task_001089_220cc46b', 1, 'ok', 'budget_exceeded', 80, 'budget_exceeded')
('task_001090_c61c71f2', 0, 'ok', 'done', 33, 'no_tool_calls')
('task_001264_9f4ca84a', 0, 'ok', 'done', 18, 'no_tool_calls')
('task_001321_658ce4a8', 0, 'ok', 'budget_exceeded', 80, 'budget_exceeded')
('task_001421_1f2cf4c7', 1, 'ok', 'done', 19, 'no_tool_calls')
('task_001498_df8254c9', 0, 'ok', 'done', 41, 'no_tool_calls')
('task_001515_eed714e6', 1, 'ok', 'done', 11, 'no_tool_calls')
('task_001536_acfe6c35', 1, 'ok', 'done', 38, 'no_tool_calls')
('task_001591_8901fea6', 1, 'ok', 'done', 50, 'no_tool_calls')
('task_001652_86e1d185', 1, 'ok', 'done', 67, 'no_tool_calls')
('task_001653_c4cafa73', 0, 'ok', 'done', 15, 'no_tool_calls')
('task_001673_86224c91', 0, 'ok', 'budget_exceeded', 80, 'budget_exceeded')
('task_001697_af4b85fb', 1, 'ok', 'done', 15, 'no_tool_calls')
('task_001701_95e3bbcb', 0, 'ok', 'budget_exceeded', 80, 'budget_exceeded')
('task_001706_24462a09', 0, 'ok', 'done', 50, 'no_tool_calls')
('task_001761_f620d44d', 1, 'ok', 'done', 8, 'no_tool_calls')
('task_001781_529727cf', 1, 'ok', 'budget_exceeded', 80, 'budget_exceeded')
('task_001818_b251e5ea', 0, 'agent_error', 'error', 49, 'error')
('task_001937_ac874115', 0, 'ok', 'done', 48, 'no_tool_calls')
TOTAL 50 PASS 25
